NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
SLC38A5	1	SLC38A5	
KL	1	KL	
KLRC2	1	KLRC2	
AMBP	1	AMBP	
HTR1F	1	HTR1F	
GFPT2	1	GFPT2	
RPL41P2	1	RPL41P2	
HTR1D	1	HTR1D	
LAYN	1	LAYN	
SHISAL1	1	SHISAL1	
INHBA	1	INHBA	
CTAG2	1	CTAG2	
ADAP1	1	ADAP1	
POU2F3	1	POU2F3	
LRP1B	1	LRP1B	
CALHM5	1	CALHM5	
SDK1	1	SDK1	
FGF14	1	FGF14	
LINC00945	1	LINC00945	
STK24	1	STK24	
PRPH2	1	PRPH2	
OR7E104P	1	LOC102723968	
TMEM238	1	TMEM238	
OGN	1	OGN	
ALB	1	ALB	
TDRD12	1	TDRD12	
LINC02207	1	LINC02207	
LCN2	1	LCN2	
CPE	1	CPE	
LINC01239	1	LINC01239	
TDRD10	1	TDRD10	
NMUR1	1	NMUR1	
LINC00460	1	LINC00460	
TRIM71	1	TRIM71	
DRAXIN	1	DRAXIN	
SYCP2	1	SYCP2	
LAMC3	1	LAMC3	
ONECUT1	1	ONECUT1	
LMOD1	1	LMOD1	
FHL5	1	FHL5	
TSPAN11	1	TSPAN11	
HAPLN1	1	HAPLN1	
CXCL5	1	CXCL5	
TMEM100	1	TMEM100	
MB	1	MB	
HJV	1	HJV	
LRRTM1	1	LRRTM1	
PHACTR3	1	PHACTR3	
NOS1	1	NOS1	
HMGCS2	1	HMGCS2	
MYCNUT	1	MYCNUT	
PROSER2-AS1	1	PROSER2-AS1	
MRGPRX3	1	MRGPRX3	
MMP1	1	MMP1	
MMP2	1	MMP2	
PDE4C	1	PDE4C	
APOA1	1	APOA1	
LSR	1	LSR	
OLIG1	1	OLIG1	
FOXL1	1	FOXL1	
OLIG2	1	OLIG2	
SSTR2	1	SSTR2	
TCTE1	1	TCTE1	
ZAR1	1	ZAR1	
TRDN	1	TRDN	
CCNA1	1	CCNA1	
VCAN	1	VCAN	
AIM2	1	AIM2	
TBC1D4	1	TBC1D4	
ESRP2	1	ESRP2	
CDH10	1	CDH10	
CCDC74A	1	CCDC74A	
ADGRF5	1	ADGRF5	
ITGA8	1	ITGA8	
IRF6	1	IRF6	
AC091182.1	1	LOC100507403	
BCAT1	1	BCAT1	
LTF	1	LTF	
CX3CR1	1	CX3CR1	
RGS17	1	RGS17	
LAMA2	1	LAMA2	
SFTPA2	1	SFTPA2	
SMPX	1	SMPX	
LUZP2	1	LUZP2	
AC005280.2	1	LOC101928143	
PLG	1	PLG	
CYP3A4	1	CYP3A4	
ITIH1	1	ITIH1	
ACAN	1	ACAN	
PRRG3	1	PRRG3	
CLMP	1	CLMP	
TTR	1	TTR	
NHS	1	NHS	
SLIT3	1	SLIT3	
FSD1	1	FSD1	
RGS22	1	RGS22	
VAT1L	1	VAT1L	
PPP1R14A	1	PPP1R14A	
CYP1B1-AS1	1	CYP1B1-AS1	
TRPA1	1	TRPA1	
LUM	1	LUM	
SPAG6	1	SPAG6	
NAA11	1	NAA11	
SPAG4	1	SPAG4	
SOD3	1	SOD3	
ASS1	1	ASS1	
MFAP4	1	MFAP4	
MGAM2	1	MGAM2	
COL7A1	1	COL7A1	
MFAP2	1	MFAP2	
NEURL1	1	NEURL1	
