NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
RODRIGUES_THYROID_CARCINOMA_ANAPLASTIC_DN	RODRIGUES_THYROID_CARCINOMA_ANAPLASTIC_DN	Details ...	10	-0.30498534	-0.74346447	0.77	1.0	1.0	248	tags=100%, list=71%, signal=331%	
KAAB_HEART_ATRIUM_VS_VENTRICLE_UP	KAAB_HEART_ATRIUM_VS_VENTRICLE_UP	Details ...	12	-0.28908554	-0.7082032	0.79375	1.0	1.0	254	tags=100%, list=72%, signal=349%	
BYSTRYKH_HEMATOPOIESIS_STEM_CELL_QTL_TRANS	BYSTRYKH_HEMATOPOIESIS_STEM_CELL_QTL_TRANS	Details ...	12	-0.24483776	-0.6557988	0.9018868	1.0	1.0	269	tags=100%, list=77%, signal=413%	
SCHAEFFER_PROSTATE_DEVELOPMENT_48HR_UP	SCHAEFFER_PROSTATE_DEVELOPMENT_48HR_UP	Details ...	16	-0.23777944	-0.6376375	0.89285713	1.0	1.0	33	tags=25%, list=9%, signal=26%	
REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION	REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION	Details ...	13	-0.23566663	-0.6300599	0.9124236	1.0	1.0	38	tags=23%, list=11%, signal=25%	
BOCHKIS_FOXA2_TARGETS	BOCHKIS_FOXA2_TARGETS	Details ...	12	-0.3329489	-0.6176994	0.8314176	1.0	1.0	110	tags=75%, list=31%, signal=105%	
KIM_ALL_DISORDERS_OLIGODENDROCYTE_NUMBER_CORR_UP	KIM_ALL_DISORDERS_OLIGODENDROCYTE_NUMBER_CORR_UP	Details ...	10	-0.23138532	-0.61197233	0.912	1.0	1.0	166	tags=80%, list=47%, signal=147%	
LOPEZ_MBD_TARGETS	LOPEZ_MBD_TARGETS	Details ...	14	-0.23000756	-0.61161596	0.8965517	1.0	1.0	238	tags=93%, list=68%, signal=277%	
DELACROIX_RARG_BOUND_MEF	DELACROIX_RARG_BOUND_MEF	Details ...	11	-0.23235294	-0.6074439	0.8929293	1.0	1.0	273	tags=100%, list=78%, signal=436%	
MEBARKI_HCC_PROGENITOR_FZD8CRD_DN	MEBARKI_HCC_PROGENITOR_FZD8CRD_DN	Details ...	11	-0.27324292	-0.60459185	0.915547	1.0	1.0	102	tags=55%, list=29%, signal=74%	
MARTINEZ_RB1_TARGETS_UP	MARTINEZ_RB1_TARGETS_UP		15	-0.20844544	-0.57112604	0.9355469	1.0	1.0	211	tags=87%, list=60%, signal=208%	
ZHENG_BOUND_BY_FOXP3	ZHENG_BOUND_BY_FOXP3		10	-0.21305872	-0.56201893	0.9517625	1.0	1.0	111	tags=60%, list=32%, signal=85%	
GRYDER_PAX3FOXO1_ENHANCERS_IN_TADS	GRYDER_PAX3FOXO1_ENHANCERS_IN_TADS		19	-0.19578312	-0.55778086	0.93963784	1.0	1.0	287	tags=100%, list=82%, signal=519%	
CHIANG_LIVER_CANCER_SUBCLASS_CTNNB1_DN	CHIANG_LIVER_CANCER_SUBCLASS_CTNNB1_DN		12	-0.19469026	-0.52921695	0.9820717	1.0	1.0	286	tags=100%, list=81%, signal=522%	
NAKAMURA_TUMOR_ZONE_PERIPHERAL_VS_CENTRAL_DN	NAKAMURA_TUMOR_ZONE_PERIPHERAL_VS_CENTRAL_DN		14	-0.19287834	-0.52127945	0.95334685	1.0	1.0	287	tags=100%, list=82%, signal=527%	
REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION		18	-0.1951952	-0.51914316	0.96259844	1.0	1.0	287	tags=100%, list=82%, signal=520%	
HELLER_HDAC_TARGETS_SILENCED_BY_METHYLATION_UP	HELLER_HDAC_TARGETS_SILENCED_BY_METHYLATION_UP		14	-0.18397626	-0.51663095	0.97245765	1.0	1.0	290	tags=100%, list=83%, signal=552%	
GRAESSMANN_APOPTOSIS_BY_DOXORUBICIN_UP	GRAESSMANN_APOPTOSIS_BY_DOXORUBICIN_UP		13	-0.21186903	-0.5160532	0.95984703	1.0	1.0	100	tags=54%, list=28%, signal=73%	
GSE360_HIGH_DOSE_B_MALAYI_VS_M_TUBERCULOSIS_DC_DN	GSE360_HIGH_DOSE_B_MALAYI_VS_M_TUBERCULOSIS_DC_DN		10	-0.19212797	-0.5073757	0.98585856	1.0	1.0	208	tags=80%, list=59%, signal=191%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE		10	-0.21883152	-0.4964084	0.96928984	1.0	1.0	37	tags=20%, list=11%, signal=22%	
CHYLA_CBFA2T3_TARGETS_UP	CHYLA_CBFA2T3_TARGETS_UP		10	-0.21029219	-0.49165472	0.9796748	1.0	1.0	226	tags=90%, list=64%, signal=246%	
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION		14	-0.1735485	-0.4873466	0.9940594	1.0	1.0	255	tags=93%, list=73%, signal=326%	
LEE_BMP2_TARGETS_UP	LEE_BMP2_TARGETS_UP		27	-0.15575399	-0.47439098	0.9827916	1.0	1.0	49	tags=22%, list=14%, signal=24%	
REACTOME_INNATE_IMMUNE_SYSTEM	REACTOME_INNATE_IMMUNE_SYSTEM		14	-0.20369166	-0.4565156	0.9722222	1.0	1.0	239	tags=93%, list=68%, signal=279%	
MCBRYAN_PUBERTAL_BREAST_4_5WK_UP	MCBRYAN_PUBERTAL_BREAST_4_5WK_UP		14	-0.18205759	-0.43297464	0.9881423	1.0	1.0	94	tags=43%, list=27%, signal=56%	
KRAS.600_UP.V1_UP	KRAS.600_UP.V1_UP		10	-0.17496495	-0.4295143	0.99614644	1.0	1.0	241	tags=90%, list=69%, signal=279%	
GSE28130_ACTIVATED_VS_INDUCEED_TREG_UP	GSE28130_ACTIVATED_VS_INDUCEED_TREG_UP		10	-0.16190986	-0.41343623	1.0	1.0	1.0	38	tags=20%, list=11%, signal=22%	
NFE2L2.V2	NFE2L2.V2		14	-0.15430267	-0.41071084	0.99232244	1.0	1.0	300	tags=100%, list=85%, signal=661%	
REACTOME_DEVELOPMENTAL_BIOLOGY	REACTOME_DEVELOPMENTAL_BIOLOGY		14	-0.14243323	-0.40073502	0.99630994	1.0	1.0	304	tags=100%, list=87%, signal=717%	
KOINUMA_TARGETS_OF_SMAD2_OR_SMAD3	KOINUMA_TARGETS_OF_SMAD2_OR_SMAD3		11	-0.16176471	-0.38803655	1.0	1.0	1.0	297	tags=100%, list=85%, signal=630%	
REACTOME_NERVOUS_SYSTEM_DEVELOPMENT	REACTOME_NERVOUS_SYSTEM_DEVELOPMENT		11	-0.14117648	-0.37281486	0.9980545	1.0	1.0	304	tags=100%, list=87%, signal=723%	
ONDER_CDH1_TARGETS_2_DN	ONDER_CDH1_TARGETS_2_DN		20	-0.14886534	-0.36626863	1.0	0.99647695	1.0	100	tags=45%, list=28%, signal=59%	
