NAME	TITLE	SCORE	
MMP2	matrix metallopeptidase 2 [Source:HGNC Symbol;Acc:HGNC:7166]	0.674157	
LINC00578	long intergenic non-protein coding RNA 578 [Source:HGNC Symbol;Acc:HGNC:43807]	0.672176	
C3orf80	chromosome 3 open reading frame 80 [Source:HGNC Symbol;Acc:HGNC:40048]	0.6647505	
LUM	lumican [Source:HGNC Symbol;Acc:HGNC:6724]	0.6645213	
SLC51B	solute carrier family 51 subunit beta [Source:HGNC Symbol;Acc:HGNC:29956]	0.66449744	
ANO1	anoctamin 1 [Source:HGNC Symbol;Acc:HGNC:21625]	0.6642834	
LAMA2	laminin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6482]	0.66223955	
OPN4	opsin 4 [Source:HGNC Symbol;Acc:HGNC:14449]	0.65900743	
ROR2	receptor tyrosine kinase like orphan receptor 2 [Source:HGNC Symbol;Acc:HGNC:10257]	0.65641767	
AC012101.2	novel transcript	0.65639454	
LINC02584	long intergenic non-protein coding RNA 2584 [Source:HGNC Symbol;Acc:HGNC:33275]	0.65400213	
H1-0	H1.0 linker histone [Source:HGNC Symbol;Acc:HGNC:4714]	0.6494509	
ADAP1	ArfGAP with dual PH domains 1 [Source:HGNC Symbol;Acc:HGNC:16486]	0.64844817	
COL12A1	collagen type XII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2188]	0.6481968	
CPAMD8	C3 and PZP like alpha-2-macroglobulin domain containing 8 [Source:HGNC Symbol;Acc:HGNC:23228]	0.6436553	
CILP2	cartilage intermediate layer protein 2 [Source:HGNC Symbol;Acc:HGNC:24213]	0.6408985	
PPIAP8	peptidylprolyl isomerase A pseudogene 8 [Source:HGNC Symbol;Acc:HGNC:9271]	0.64002395	
EEF1B2P4	eukaryotic translation elongation factor 1 beta 2 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:32475]	0.63974977	
KCNK3	potassium two pore domain channel subfamily K member 3 [Source:HGNC Symbol;Acc:HGNC:6278]	0.63829774	
ELN	elastin [Source:HGNC Symbol;Acc:HGNC:3327]	0.6367973	
LINC02182	long intergenic non-protein coding RNA 2182 [Source:HGNC Symbol;Acc:HGNC:53044]	0.6364917	
RAB31	RAB31, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9771]	0.6360194	
SNORD7	small nucleolar RNA, C/D box 7 [Source:HGNC Symbol;Acc:HGNC:32704]	0.6345783	
OMD	osteomodulin [Source:HGNC Symbol;Acc:HGNC:8134]	0.63126236	
ADAMTS2	ADAM metallopeptidase with thrombospondin type 1 motif 2 [Source:HGNC Symbol;Acc:HGNC:218]	0.6300839	
CALHM5	calcium homeostasis modulator family member 5 [Source:HGNC Symbol;Acc:HGNC:21568]	0.623029	
OLFML1	olfactomedin like 1 [Source:HGNC Symbol;Acc:HGNC:24473]	0.6199137	
SDK1-AS1	SDK1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40883]	0.6170781	
LRRC8C	leucine rich repeat containing 8 VRAC subunit C [Source:HGNC Symbol;Acc:HGNC:25075]	0.6160149	
NXF4	nuclear RNA export factor 4 pseudogene [Source:HGNC Symbol;Acc:HGNC:8074]	0.61570555	
DNLZ	DNL-type zinc finger [Source:HGNC Symbol;Acc:HGNC:33879]	0.6139071	
FBLN7	fibulin 7 [Source:HGNC Symbol;Acc:HGNC:26740]	0.61301696	
RAD1P2	RAD1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:49480]	0.61297876	
PRRX1	paired related homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9142]	0.61224043	
DCLK3	doublecortin like kinase 3 [Source:HGNC Symbol;Acc:HGNC:19005]	0.61213005	
LINC00517	long intergenic non-protein coding RNA 517 [Source:HGNC Symbol;Acc:HGNC:19831]	0.61108845	
SLC7A14	solute carrier family 7 member 14 [Source:HGNC Symbol;Acc:HGNC:29326]	0.6110621	
PPIAP35	peptidylprolyl isomerase A pseudogene 35 [Source:HGNC Symbol;Acc:HGNC:53659]	0.60467064	
CENPL	centromere protein L [Source:HGNC Symbol;Acc:HGNC:17879]	0.6024055	
GFPT2	glutamine-fructose-6-phosphate transaminase 2 [Source:HGNC Symbol;Acc:HGNC:4242]	0.6011931	
SHISAL1	shisa like 1 [Source:HGNC Symbol;Acc:HGNC:29335]	0.600469	
PDGFRB	platelet derived growth factor receptor beta [Source:HGNC Symbol;Acc:HGNC:8804]	0.5997232	
RAB40AL	RAB40A like [Source:HGNC Symbol;Acc:HGNC:25410]	0.5981241	
PDE4C	phosphodiesterase 4C [Source:HGNC Symbol;Acc:HGNC:8782]	0.5954895	
DNM1	dynamin 1 [Source:HGNC Symbol;Acc:HGNC:2972]	0.5950582	
TDRD10	tudor domain containing 10 [Source:HGNC Symbol;Acc:HGNC:25316]	0.5949563	
EGFL6	EGF like domain multiple 6 [Source:HGNC Symbol;Acc:HGNC:3235]	0.59472144	
PDE4DIP	phosphodiesterase 4D interacting protein [Source:HGNC Symbol;Acc:HGNC:15580]	0.5928462	
MIRLET7I	microRNA let-7i [Source:HGNC Symbol;Acc:HGNC:31486]	0.59234357	
RN7SL151P	RNA, 7SL, cytoplasmic 151, pseudogene [Source:HGNC Symbol;Acc:HGNC:46167]	0.59233683	
SYCP2	synaptonemal complex protein 2 [Source:HGNC Symbol;Acc:HGNC:11490]	0.5909079	
HMGB1P11	high mobility group box 1 pseudogene 11 [Source:HGNC Symbol;Acc:HGNC:13316]	0.5907875	
RPL7P56	ribosomal protein L7 pseudogene 56 [Source:HGNC Symbol;Acc:HGNC:35588]	0.5902553	
DAND5	DAN domain BMP antagonist family member 5 [Source:HGNC Symbol;Acc:HGNC:26780]	0.5894496	
SLC12A8	solute carrier family 12 member 8 [Source:HGNC Symbol;Acc:HGNC:15595]	0.5880873	
MMRN1	multimerin 1 [Source:HGNC Symbol;Acc:HGNC:7178]	0.58768994	
WNT2	Wnt family member 2 [Source:HGNC Symbol;Acc:HGNC:12780]	0.587551	
IRAG1	inositol 1,4,5-triphosphate receptor associated 1 [Source:HGNC Symbol;Acc:HGNC:7237]	0.585498	
FUT4	fucosyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:4015]	0.5828055	
PRPH2	peripherin 2 [Source:HGNC Symbol;Acc:HGNC:9942]	0.58269435	
PDGFD	platelet derived growth factor D [Source:HGNC Symbol;Acc:HGNC:30620]	0.5820393	
ESAM	endothelial cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:17474]	0.58161783	
LINC01096	long intergenic non-protein coding RNA 1096 [Source:HGNC Symbol;Acc:HGNC:27739]	0.5806082	
RASGRF2-AS1	RASGRF2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40499]	0.5803707	
LINC02086	long intergenic non-protein coding RNA 2086 [Source:HGNC Symbol;Acc:HGNC:52936]	0.580261	
ODF2	outer dense fiber of sperm tails 2 [Source:HGNC Symbol;Acc:HGNC:8114]	0.58019453	
ENC1	ectodermal-neural cortex 1 [Source:HGNC Symbol;Acc:HGNC:3345]	0.57973385	
RBMX2P5	RBMX2 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:39927]	0.5787216	
PKDCC	protein kinase domain containing, cytoplasmic [Source:HGNC Symbol;Acc:HGNC:25123]	0.5773709	
INHBA-AS1	INHBA antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40303]	0.5761653	
AP002852.1	novel transcript	0.57305354	
TSHZ3	teashirt zinc finger homeobox 3 [Source:HGNC Symbol;Acc:HGNC:30700]	0.5727484	
OR2H2	olfactory receptor family 2 subfamily H member 2 [Source:HGNC Symbol;Acc:HGNC:8253]	0.57232434	
DKK3	dickkopf WNT signaling pathway inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:2893]	0.5704328	
ATAD2	ATPase family AAA domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30123]	0.5696299	
FHL5	four and a half LIM domains 5 [Source:HGNC Symbol;Acc:HGNC:17371]	0.56730634	
TRPC6	transient receptor potential cation channel subfamily C member 6 [Source:HGNC Symbol;Acc:HGNC:12338]	0.56706274	
LINC02544	long intergenic non-protein coding RNA 2544 [Source:HGNC Symbol;Acc:HGNC:53578]	0.56597376	
FAM225A	family with sequence similarity 225 member A [Source:HGNC Symbol;Acc:HGNC:27855]	0.5653098	
ADAM12	ADAM metallopeptidase domain 12 [Source:HGNC Symbol;Acc:HGNC:190]	0.5649882	
ASPM	assembly factor for spindle microtubules [Source:HGNC Symbol;Acc:HGNC:19048]	0.5642243	
SDK1	sidekick cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:19307]	0.5635613	
LINC02849	long intergenic non-protein coding RNA 2849 [Source:HGNC Symbol;Acc:HGNC:54385]	0.56284785	
PXDN	peroxidasin [Source:HGNC Symbol;Acc:HGNC:14966]	0.56272197	
KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]	0.56163263	
TLDC2	TBC/LysM-associated domain containing 2 [Source:HGNC Symbol;Acc:HGNC:16112]	0.56099063	
PROCR	protein C receptor [Source:HGNC Symbol;Acc:HGNC:9452]	0.5602707	
RIMBP3C	RIMS binding protein 3C [Source:HGNC Symbol;Acc:HGNC:33892]	0.5593249	
TXNDC8	thioredoxin domain containing 8 [Source:HGNC Symbol;Acc:HGNC:31454]	0.5592473	
SNORD14E	small nucleolar RNA, C/D box 14E [Source:HGNC Symbol;Acc:HGNC:30354]	0.55856925	
STX2	syntaxin 2 [Source:HGNC Symbol;Acc:HGNC:3403]	0.55846316	
IL10	interleukin 10 [Source:HGNC Symbol;Acc:HGNC:5962]	0.5580451	
C6orf118	chromosome 6 open reading frame 118 [Source:HGNC Symbol;Acc:HGNC:21233]	0.55745983	
KCNJ6	potassium inwardly rectifying channel subfamily J member 6 [Source:HGNC Symbol;Acc:HGNC:6267]	0.55543065	
PREX2	phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 2 [Source:HGNC Symbol;Acc:HGNC:22950]	0.55533916	
TMEM200B	transmembrane protein 200B [Source:HGNC Symbol;Acc:HGNC:33785]	0.55507815	
CKAP2L	cytoskeleton associated protein 2 like [Source:HGNC Symbol;Acc:HGNC:26877]	0.5542801	
MMP19	matrix metallopeptidase 19 [Source:HGNC Symbol;Acc:HGNC:7165]	0.5533627	
LDB2	LIM domain binding 2 [Source:HGNC Symbol;Acc:HGNC:6533]	0.5530411	
CYS1	cystin 1 [Source:HGNC Symbol;Acc:HGNC:18525]	0.55165154	
TIE1	tyrosine kinase with immunoglobulin like and EGF like domains 1 [Source:HGNC Symbol;Acc:HGNC:11809]	0.5515027	
STC2	stanniocalcin 2 [Source:HGNC Symbol;Acc:HGNC:11374]	0.55126387	
GUCY1A1	guanylate cyclase 1 soluble subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:4685]	0.55065	
SEPTIN12	septin 12 [Source:HGNC Symbol;Acc:HGNC:26348]	0.549331	
JCAD	junctional cadherin 5 associated [Source:HGNC Symbol;Acc:HGNC:29283]	0.5482324	
HES7	hes family bHLH transcription factor 7 [Source:HGNC Symbol;Acc:HGNC:15977]	0.54751694	
GABRR2	gamma-aminobutyric acid type A receptor subunit rho2 [Source:HGNC Symbol;Acc:HGNC:4091]	0.54742855	
RNVU1-8	RNA, variant U1 small nuclear 8 [Source:HGNC Symbol;Acc:HGNC:48315]	0.5460318	
MIR7152	microRNA 7152 [Source:HGNC Symbol;Acc:HGNC:50257]	0.54602957	
ITGA5	integrin subunit alpha 5 [Source:HGNC Symbol;Acc:HGNC:6141]	0.54547614	
LINC02056	long intergenic non-protein coding RNA 2056 [Source:HGNC Symbol;Acc:HGNC:52898]	0.5454584	
DBN1	drebrin 1 [Source:HGNC Symbol;Acc:HGNC:2695]	0.5446692	
COL6A3	collagen type VI alpha 3 chain [Source:HGNC Symbol;Acc:HGNC:2213]	0.5444246	
AC011467.1	novel transcript	0.5434495	
MIR34AHG	MIR34A host gene [Source:HGNC Symbol;Acc:HGNC:51913]	0.54305667	
SLC6A6	solute carrier family 6 member 6 [Source:HGNC Symbol;Acc:HGNC:11052]	0.5428473	
PRRG3	proline rich and Gla domain 3 [Source:HGNC Symbol;Acc:HGNC:30798]	0.5427426	
DSCC1	DNA replication and sister chromatid cohesion 1 [Source:HGNC Symbol;Acc:HGNC:24453]	0.5423848	
MTBP	MDM2 binding protein [Source:HGNC Symbol;Acc:HGNC:7417]	0.5417315	
DKFZP434A062	uncharacterized LOC26102 [Source:NCBI gene (formerly Entrezgene);Acc:26102]	0.5414813	
GPR156	G protein-coupled receptor 156 [Source:HGNC Symbol;Acc:HGNC:20844]	0.54142094	
AC087392.1	novel transcript, antisense to NXN	0.5408968	
COL4A1	collagen type IV alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2202]	0.5403103	
ARFGAP3	ADP ribosylation factor GTPase activating protein 3 [Source:HGNC Symbol;Acc:HGNC:661]	0.54011774	
RNU6-1206P	RNA, U6 small nuclear 1206, pseudogene [Source:HGNC Symbol;Acc:HGNC:48169]	0.5400409	
RPL23AP20	ribosomal protein L23a pseudogene 20 [Source:HGNC Symbol;Acc:HGNC:36622]	0.5399079	
FAM71D	family with sequence similarity 71 member D [Source:HGNC Symbol;Acc:HGNC:20101]	0.53981245	
ZAR1	zygote arrest 1 [Source:HGNC Symbol;Acc:HGNC:20436]	0.53906715	
GIP	gastric inhibitory polypeptide [Source:HGNC Symbol;Acc:HGNC:4270]	0.5390491	
TENT4A	terminal nucleotidyltransferase 4A [Source:HGNC Symbol;Acc:HGNC:16705]	0.5385883	
LINC01168	long intergenic non-protein coding RNA 1168 [Source:HGNC Symbol;Acc:HGNC:49537]	0.53838193	
TBX5	T-box transcription factor 5 [Source:HGNC Symbol;Acc:HGNC:11604]	0.5371267	
HSP90B3P	heat shock protein 90 beta family member 3, pseudogene [Source:HGNC Symbol;Acc:HGNC:12100]	0.5370439	
FOXL1	forkhead box L1 [Source:HGNC Symbol;Acc:HGNC:3817]	0.53666824	
GJA5	gap junction protein alpha 5 [Source:HGNC Symbol;Acc:HGNC:4279]	0.53637075	
FOXH1	forkhead box H1 [Source:HGNC Symbol;Acc:HGNC:3814]	0.53567344	
PTCH2	patched 2 [Source:HGNC Symbol;Acc:HGNC:9586]	0.53553885	
KL	klotho [Source:HGNC Symbol;Acc:HGNC:6344]	0.5352567	
MAP6	microtubule associated protein 6 [Source:HGNC Symbol;Acc:HGNC:6868]	0.53459215	
MTND4LP14	MT-ND4L pseudogene 14 [Source:HGNC Symbol;Acc:HGNC:42248]	0.5337296	
COMP	cartilage oligomeric matrix protein [Source:HGNC Symbol;Acc:HGNC:2227]	0.5334529	
LINC02174	long intergenic non-protein coding RNA 2174 [Source:HGNC Symbol;Acc:HGNC:53037]	0.53305477	
SERTAD3	SERTA domain containing 3 [Source:HGNC Symbol;Acc:HGNC:17931]	0.5328215	
LINC02755	long intergenic non-protein coding RNA 2755 [Source:HGNC Symbol;Acc:HGNC:54275]	0.5325168	
AL033523.1	novel transcript	0.53249884	
RASGRF2	Ras protein specific guanine nucleotide releasing factor 2 [Source:HGNC Symbol;Acc:HGNC:9876]	0.53248584	
EFCAB2	EF-hand calcium binding domain 2 [Source:HGNC Symbol;Acc:HGNC:28166]	0.5323614	
LINC01006	long intergenic non-protein coding RNA 1006 [Source:HGNC Symbol;Acc:HGNC:48971]	0.5321201	
CNMD	chondromodulin [Source:HGNC Symbol;Acc:HGNC:17005]	0.5317119	
MLN	motilin [Source:HGNC Symbol;Acc:HGNC:7141]	0.53165805	
AKR1C7P	aldo-keto reductase family 1 member C7, pseudogene [Source:HGNC Symbol;Acc:HGNC:44681]	0.531493	
RECQL4	RecQ like helicase 4 [Source:HGNC Symbol;Acc:HGNC:9949]	0.53122663	
HMGB3P7	high mobility group box 3 pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:39299]	0.53077275	
FGF14	fibroblast growth factor 14 [Source:HGNC Symbol;Acc:HGNC:3671]	0.53011024	
CALCA	calcitonin related polypeptide alpha [Source:HGNC Symbol;Acc:HGNC:1437]	0.53006756	
IMPA1P1	inositol monophosphatase 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:33956]	0.53006744	
MECOM	MDS1 and EVI1 complex locus [Source:HGNC Symbol;Acc:HGNC:3498]	0.52975404	
HID1	HID1 domain containing [Source:HGNC Symbol;Acc:HGNC:15736]	0.52936125	
CPE	carboxypeptidase E [Source:HGNC Symbol;Acc:HGNC:2303]	0.52907205	
LINC00677	long intergenic non-protein coding RNA 677 [Source:HGNC Symbol;Acc:HGNC:20121]	0.5276103	
RN7SL825P	RNA, 7SL, cytoplasmic 825, pseudogene [Source:HGNC Symbol;Acc:HGNC:46841]	0.52736837	
CPED1	cadherin like and PC-esterase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26159]	0.5267682	
CDH11	cadherin 11 [Source:HGNC Symbol;Acc:HGNC:1750]	0.5264542	
AC234582.1	THBS3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40582]	0.5263644	
RN7SKP275	RN7SK pseudogene 275 [Source:HGNC Symbol;Acc:HGNC:45999]	0.5250917	
VCAN-AS1	VCAN antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40163]	0.52420527	
CLIC6	chloride intracellular channel 6 [Source:HGNC Symbol;Acc:HGNC:2065]	0.5240791	
EDIL3-DT	EDIL3 divergent transcript [Source:HGNC Symbol;Acc:HGNC:40204]	0.52381855	
LINC01500	long intergenic non-protein coding RNA 1500 [Source:HGNC Symbol;Acc:HGNC:51166]	0.5238041	
TRPC1	transient receptor potential cation channel subfamily C member 1 [Source:HGNC Symbol;Acc:HGNC:12333]	0.5236012	
ANGPT2	angiopoietin 2 [Source:HGNC Symbol;Acc:HGNC:485]	0.52346605	
CRACR2B	calcium release activated channel regulator 2B [Source:HGNC Symbol;Acc:HGNC:28703]	0.5232619	
RPLP0P1	ribosomal protein lateral stalk subunit P0 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:16585]	0.52269435	
SLC25A37	solute carrier family 25 member 37 [Source:HGNC Symbol;Acc:HGNC:29786]	0.5226368	
KIR2DL3	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3 [Source:HGNC Symbol;Acc:HGNC:6331]	0.5221383	
AL139393.3	MAP3K4 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:55048]	0.52154905	
SCAT1	S-phase cancer associated transcript 1 [Source:HGNC Symbol;Acc:HGNC:52930]	0.52152246	
FBLN1	fibulin 1 [Source:HGNC Symbol;Acc:HGNC:3600]	0.5202885	
RASSF8	Ras association domain family member 8 [Source:HGNC Symbol;Acc:HGNC:13232]	0.51959765	
TBC1D31	TBC1 domain family member 31 [Source:HGNC Symbol;Acc:HGNC:30888]	0.5178505	
OR7D4	olfactory receptor family 7 subfamily D member 4 [Source:HGNC Symbol;Acc:HGNC:8380]	0.5170975	
BHLHA15	basic helix-loop-helix family member a15 [Source:HGNC Symbol;Acc:HGNC:22265]	0.51705885	
GSC	goosecoid homeobox [Source:HGNC Symbol;Acc:HGNC:4612]	0.5168659	
EBF3	EBF transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:19087]	0.5165869	
LINC01121	long intergenic non-protein coding RNA 1121 [Source:HGNC Symbol;Acc:HGNC:49266]	0.51649845	
RASSF9	Ras association domain family member 9 [Source:HGNC Symbol;Acc:HGNC:15739]	0.51646715	
SORCS2	sortilin related VPS10 domain containing receptor 2 [Source:HGNC Symbol;Acc:HGNC:16698]	0.515421	
SLC16A3	solute carrier family 16 member 3 [Source:HGNC Symbol;Acc:HGNC:10924]	0.5152356	
NEURL1	neuralized E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:7761]	0.51517993	
LINC01235	long intergenic non-protein coding RNA 1235 [Source:HGNC Symbol;Acc:HGNC:49769]	0.51502025	
SLC10A4	solute carrier family 10 member 4 [Source:HGNC Symbol;Acc:HGNC:22980]	0.51479334	
AXL	AXL receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:905]	0.5147651	
BX537318.2	TEC	0.5146584	
LRRC15	leucine rich repeat containing 15 [Source:HGNC Symbol;Acc:HGNC:20818]	0.51463264	
CLMP	CXADR like membrane protein [Source:HGNC Symbol;Acc:HGNC:24039]	0.514145	
TOMM40P4	TOMM40 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:54633]	0.51378846	
SFRP2	secreted frizzled related protein 2 [Source:HGNC Symbol;Acc:HGNC:10777]	0.5132805	
NMUR1	neuromedin U receptor 1 [Source:HGNC Symbol;Acc:HGNC:4518]	0.51325756	
VCAN	versican [Source:HGNC Symbol;Acc:HGNC:2464]	0.5125907	
MFAP4	microfibril associated protein 4 [Source:HGNC Symbol;Acc:HGNC:7035]	0.5116035	
FNDC1-IT1	FNDC1 intronic transcript 1 [Source:HGNC Symbol;Acc:HGNC:41460]	0.5114618	
KCNA1	potassium voltage-gated channel subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:6218]	0.51141894	
LINC-ROR	long intergenic non-protein coding RNA, regulator of reprogramming [Source:HGNC Symbol;Acc:HGNC:43773]	0.51126647	
CLEC18C	C-type lectin domain family 18 member C [Source:HGNC Symbol;Acc:HGNC:28538]	0.5111936	
SLC39A12	solute carrier family 39 member 12 [Source:HGNC Symbol;Acc:HGNC:20860]	0.51084405	
AC010729.1	novel transcript	0.51079804	
BICC1	BicC family RNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:19351]	0.51053923	
MIR6864	microRNA 6864 [Source:HGNC Symbol;Acc:HGNC:50226]	0.51040834	
SVEP1	sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:15985]	0.5100959	
FILIP1	filamin A interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:21015]	0.5088331	
MXRA8	matrix remodeling associated 8 [Source:HGNC Symbol;Acc:HGNC:7542]	0.50844824	
HECW2	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:29853]	0.5081165	
CTXN1	cortexin 1 [Source:HGNC Symbol;Acc:HGNC:31108]	0.50808835	
RORB-AS1	RORB antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:49803]	0.50796616	
SNRPCP19	small nuclear ribonucleoprotein polypeptide C pseudogene 19 [Source:HGNC Symbol;Acc:HGNC:49834]	0.5076125	
SHISA6	shisa family member 6 [Source:HGNC Symbol;Acc:HGNC:34491]	0.5074235	
ECM2	extracellular matrix protein 2 [Source:HGNC Symbol;Acc:HGNC:3154]	0.50732404	
KLRC2	killer cell lectin like receptor C2 [Source:HGNC Symbol;Acc:HGNC:6375]	0.50686306	
GUCY1B1	guanylate cyclase 1 soluble subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:4687]	0.5067941	
CFAP20DC-AS1	CFAP20DC antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:41063]	0.50657314	
COL5A2	collagen type V alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2210]	0.5062157	
FAM72C	family with sequence similarity 72 member C [Source:HGNC Symbol;Acc:HGNC:30602]	0.50605273	
LAYN	layilin [Source:HGNC Symbol;Acc:HGNC:29471]	0.5051616	
PDLIM7	PDZ and LIM domain 7 [Source:HGNC Symbol;Acc:HGNC:22958]	0.5049491	
PRR5L	proline rich 5 like [Source:HGNC Symbol;Acc:HGNC:25878]	0.5048502	
FAM13C	family with sequence similarity 13 member C [Source:HGNC Symbol;Acc:HGNC:19371]	0.5047946	
TBX5-AS1	TBX5 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:27402]	0.50432545	
SYNGR3	synaptogyrin 3 [Source:HGNC Symbol;Acc:HGNC:11501]	0.50407344	
SPATS2L	spermatogenesis associated serine rich 2 like [Source:HGNC Symbol;Acc:HGNC:24574]	0.5033264	
SHISAL2B	shisa like 2B [Source:HGNC Symbol;Acc:HGNC:34236]	0.5030806	
ACKR3	atypical chemokine receptor 3 [Source:HGNC Symbol;Acc:HGNC:23692]	0.50289816	
KIF2C	kinesin family member 2C [Source:HGNC Symbol;Acc:HGNC:6393]	0.50272363	
AQP12B	aquaporin 12B [Source:HGNC Symbol;Acc:HGNC:6096]	0.5026758	
DIRC3-AS1	DIRC3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:50636]	0.50261307	
HCN4	hyperpolarization activated cyclic nucleotide gated potassium channel 4 [Source:HGNC Symbol;Acc:HGNC:16882]	0.50258833	
WDR86-AS1	WDR86 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:41186]	0.5024764	
FRGCA	FOXM1-regulated, gastric cancer associated [Source:HGNC Symbol;Acc:HGNC:51844]	0.5019572	
RBMS3-AS1	RBMS3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:39987]	0.5018394	
RN7SL209P	RNA, 7SL, cytoplasmic 209, pseudogene [Source:HGNC Symbol;Acc:HGNC:46225]	0.5017932	
PHETA2	PH domain containing endocytic trafficking adaptor 2 [Source:HGNC Symbol;Acc:HGNC:27161]	0.501624	
OR51E2	olfactory receptor family 51 subfamily E member 2 [Source:HGNC Symbol;Acc:HGNC:15195]	0.50139606	
AC005622.1	phospholipase A2 inhibitor and Ly6/PLAUR domain-containing protein-like [Source:NCBI gene (formerly Entrezgene);Acc:105372412]	0.50121665	
FAM230J	family with sequence similarity 230 member J [Source:HGNC Symbol;Acc:HGNC:52448]	0.5011343	
PODXL	podocalyxin like [Source:HGNC Symbol;Acc:HGNC:9171]	0.50100255	
HEYL	hes related family bHLH transcription factor with YRPW motif like [Source:HGNC Symbol;Acc:HGNC:4882]	0.50078183	
