NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
PRC2_EZH2_UP.V1_DN	192		Rejected!	
PRC2_EZH2_UP.V1_UP	192		Rejected!	
PRC2_SUZ12_UP.V1_DN	192		Rejected!	
PRC2_SUZ12_UP.V1_UP	185		Rejected!	
JNK_DN.V1_DN	190		Rejected!	
JNK_DN.V1_UP	186		Rejected!	
BRCA1_DN.V1_DN	139		Rejected!	
BRCA1_DN.V1_UP	133		Rejected!	
CTIP_DN.V1_DN	134		Rejected!	
CTIP_DN.V1_UP	135		Rejected!	
PKCA_DN.V1_DN	154		Rejected!	
PKCA_DN.V1_UP	159		Rejected!	
MTOR_UP.N4.V1_DN	183		Rejected!	
MTOR_UP.N4.V1_UP	196		Rejected!	
PTEN_DN.V2_DN	143		Rejected!	
PTEN_DN.V2_UP	139		Rejected!	
DCA_UP.V1_DN	185		Rejected!	
DCA_UP.V1_UP	185		Rejected!	
ESC_J1_UP_EARLY.V1_DN	173		Rejected!	
ESC_J1_UP_EARLY.V1_UP	178		Rejected!	
ESC_J1_UP_LATE.V1_DN	168		Rejected!	
ESC_J1_UP_LATE.V1_UP	185		Rejected!	
ESC_V6.5_UP_EARLY.V1_DN	161		Rejected!	
ESC_V6.5_UP_EARLY.V1_UP	164		Rejected!	
ESC_V6.5_UP_LATE.V1_DN	179		Rejected!	
ESC_V6.5_UP_LATE.V1_UP	182		Rejected!	
ALK_DN.V1_DN	139		Rejected!	
ALK_DN.V1_UP	140		Rejected!	
BMI1_DN_MEL18_DN.V1_DN	147		Rejected!	
BMI1_DN_MEL18_DN.V1_UP	145		Rejected!	
BMI1_DN.V1_DN	140		Rejected!	
BMI1_DN.V1_UP	147		Rejected!	
MEL18_DN.V1_DN	147		Rejected!	
MEL18_DN.V1_UP	141		Rejected!	
PTEN_DN.V1_DN	184		Rejected!	
PTEN_DN.V1_UP	186		Rejected!	
NOTCH_DN.V1_DN	183		Rejected!	
NOTCH_DN.V1_UP	186		Rejected!	
EIF4E_DN	100		Rejected!	
EIF4E_UP	100		Rejected!	
CRX_DN.V1_DN	132		Rejected!	
CRX_DN.V1_UP	135		Rejected!	
CRX_NRL_DN.V1_DN	126		Rejected!	
CRX_NRL_DN.V1_UP	140		Rejected!	
NRL_DN.V1_DN	132		Rejected!	
NRL_DN.V1_UP	136		Rejected!	
RB_DN.V1_DN	123		Rejected!	
RB_DN.V1_UP	117		Rejected!	
RB_P107_DN.V1_DN	126		Rejected!	
RB_P107_DN.V1_UP	130		Rejected!	
RB_P130_DN.V1_DN	134		Rejected!	
RB_P130_DN.V1_UP	129		Rejected!	
CAHOY_ASTROCYTIC	100		Rejected!	
CAHOY_ASTROGLIAL	100		Rejected!	
CAHOY_NEURONAL	100		Rejected!	
CAHOY_OLIGODENDROCUTIC	100		Rejected!	
RPS14_DN.V1_DN	186		Rejected!	
RPS14_DN.V1_UP	191		Rejected!	
IL15_UP.V1_DN	185		Rejected!	
IL15_UP.V1_UP	189		Rejected!	
IL2_UP.V1_DN	193		Rejected!	
IL2_UP.V1_UP	189		Rejected!	
IL21_UP.V1_DN	186		Rejected!	
IL21_UP.V1_UP	185		Rejected!	
PDGF_ERK_DN.V1_DN	149		Rejected!	
PDGF_ERK_DN.V1_UP	145		Rejected!	
PDGF_UP.V1_DN	135		Rejected!	
PDGF_UP.V1_UP	146		Rejected!	
TGFB_UP.V1_DN	191		Rejected!	
TGFB_UP.V1_UP	189		Rejected!	
YAP1_DN	47		Rejected!	
YAP1_UP	47		Rejected!	
SIRNA_EIF4GI_DN	98		Rejected!	
SIRNA_EIF4GI_UP	95		Rejected!	
HOXA9_DN.V1_DN	190		Rejected!	
HOXA9_DN.V1_UP	192		Rejected!	
SINGH_KRAS_DEPENDENCY_SIGNATURE	20		Rejected!	
STK33_DN	279		Rejected!	
STK33_NOMO_DN	280		Rejected!	
STK33_NOMO_UP	290		Rejected!	
STK33_SKM_DN	275		Rejected!	
STK33_SKM_UP	277		Rejected!	
STK33_UP	285		Rejected!	
KRAS.AMP.LUNG_UP.V1_DN	142		Rejected!	
KRAS.AMP.LUNG_UP.V1_UP	140		Rejected!	
KRAS.DF.V1_DN	193		Rejected!	
KRAS.DF.V1_UP	191		Rejected!	
TBK1.DF_DN	285		Rejected!	
TBK1.DF_UP	287		Rejected!	
TBK1.DN.48HRS_DN	50		Rejected!	
TBK1.DN.48HRS_UP	50		Rejected!	
NFE2L2.V2	469		Rejected!	
CORDENONSI_YAP_CONSERVED_SIGNATURE	57		Rejected!	
JAK2_DN.V1_DN	145		Rejected!	
JAK2_DN.V1_UP	183		Rejected!	
KRAS.300_UP.V1_DN	140		Rejected!	
KRAS.300_UP.V1_UP	142		Rejected!	
KRAS.50_UP.V1_DN	47		Rejected!	
KRAS.50_UP.V1_UP	48		Rejected!	
KRAS.600_UP.V1_DN	279		Rejected!	
KRAS.600_UP.V1_UP	278		Rejected!	
KRAS.600.LUNG.BREAST_UP.V1_DN	284		Rejected!	
KRAS.600.LUNG.BREAST_UP.V1_UP	279		Rejected!	
KRAS.BREAST_UP.V1_DN	143		Rejected!	
KRAS.BREAST_UP.V1_UP	139		Rejected!	
KRAS.KIDNEY_UP.V1_DN	135		Rejected!	
KRAS.KIDNEY_UP.V1_UP	141		Rejected!	
KRAS.LUNG_UP.V1_DN	142		Rejected!	
KRAS.LUNG_UP.V1_UP	140		Rejected!	
KRAS.LUNG.BREAST_UP.V1_DN	141		Rejected!	
KRAS.LUNG.BREAST_UP.V1_UP	141		Rejected!	
KRAS.PROSTATE_UP.V1_DN	141		Rejected!	
KRAS.PROSTATE_UP.V1_UP	137		Rejected!	
LEF1_UP.V1_DN	187		Rejected!	
LEF1_UP.V1_UP	194		Rejected!	
BIOCARTA_FEEDER_PATHWAY	9		Rejected!	
BIOCARTA_PROTEASOME_PATHWAY	19		Rejected!	
BIOCARTA_KREB_PATHWAY	8		Rejected!	
ST_INTERFERON_GAMMA_PATHWAY	10		Rejected!	
ST_WNT_CA2_CYCLIC_GMP_PATHWAY	20		Rejected!	
ST_DIFFERENTIATION_PATHWAY_IN_PC12_CELLS	47		Rejected!	
ST_TUMOR_NECROSIS_FACTOR_PATHWAY	29		Rejected!	
ST_ERK1_ERK2_MAPK_PATHWAY	32		Rejected!	
ST_GA12_PATHWAY	23		Rejected!	
ST_G_ALPHA_S_PATHWAY	16		Rejected!	
ST_G_ALPHA_I_PATHWAY	36		Rejected!	
ST_IL_13_PATHWAY	7		Rejected!	
ST_P38_MAPK_PATHWAY	37		Rejected!	
ST_JAK_STAT_PATHWAY	9		Rejected!	
ST_GRANULE_CELL_SURVIVAL_PATHWAY	28		Rejected!	
ST_ADRENERGIC	37		Rejected!	
ST_INTEGRIN_SIGNALING_PATHWAY	82		Rejected!	
ST_GAQ_PATHWAY	28		Rejected!	
ST_GA13_PATHWAY	37		Rejected!	
ST_STAT3_PATHWAY	11		Rejected!	
ST_T_CELL_SIGNAL_TRANSDUCTION	45		Rejected!	
ST_TYPE_I_INTERFERON_PATHWAY	9		Rejected!	
ST_PAC1_RECEPTOR_PATHWAY	8		Rejected!	
ST_B_CELL_ANTIGEN_RECEPTOR	40		Rejected!	
ST_INTERLEUKIN_4_PATHWAY	26		Rejected!	
ST_WNT_BETA_CATENIN_PATHWAY	34		Rejected!	
ST_JNK_MAPK_PATHWAY	40		Rejected!	
ST_FAS_SIGNALING_PATHWAY	66		Rejected!	
ST_MYOCYTE_AD_PATHWAY	28		Rejected!	
ST_PHOSPHOINOSITIDE_3_KINASE_PATHWAY	38		Rejected!	
REACTOME_REMOVAL_OF_THE_FLAP_INTERMEDIATE_FROM_THE_C_STRAND	11		Rejected!	
BLANCO_MELO_SARS_COV_1_INFECTION_MCR5_CELLS_UP	12		Rejected!	
BLANCO_MELO_SARS_COV_1_INFECTION_MCR5_CELLS_DN	9		Rejected!	
BLANCO_MELO_MERS_COV_INFECTION_MCR5_CELLS_UP	295		Rejected!	
BLANCO_MELO_MERS_COV_INFECTION_MCR5_CELLS_DN	37		Rejected!	
BLANCO_MELO_INFLUENZA_A_INFECTION_A594_CELLS_UP	41		Rejected!	
BLANCO_MELO_INFLUENZA_A_INFECTION_A594_CELLS_DN	118		Rejected!	
BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_UP	204		Rejected!	
BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_DN	122		Rejected!	
BLANCO_MELO_RESPIRATORY_SYNCYTIAL_VIRUS_INFECTION_A594_CELLS_UP	285		Rejected!	
BLANCO_MELO_RESPIRATORY_SYNCYTIAL_VIRUS_INFECTION_A594_CELLS_DN	119		Rejected!	
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_CELLS_UP	86		Rejected!	
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_CELLS_DN	77		Rejected!	
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_CALU3_CELLS_UP	338		Rejected!	
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_CALU3_CELLS_DN	24		Rejected!	
BLANCO_MELO_COVID19_SARS_COV_2_LOW_MOI_INFECTION_A594_ACE2_EXPRESSING_CELLS_UP	174		Rejected!	
BLANCO_MELO_COVID19_SARS_COV_2_LOW_MOI_INFECTION_A594_ACE2_EXPRESSING_CELLS_DN	14		Rejected!	
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_ACE2_EXPRESSING_CELLS_UP	542		Rejected!	
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_ACE2_EXPRESSING_CELLS_DN	96		Rejected!	
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_ACE2_EXPRESSING_CELLS_RUXOLITINIB_UP	483		Rejected!	
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_ACE2_EXPRESSING_CELLS_RUXOLITINIB_DN	76		Rejected!	
BLANCO_MELO_COVID19_BRONCHIAL_EPITHELIAL_CELLS_SARS_COV_2_INFECTION_UP	144		Rejected!	
BLANCO_MELO_COVID19_BRONCHIAL_EPITHELIAL_CELLS_SARS_COV_2_INFECTION_DN	58		Rejected!	
BLANCO_MELO_BETA_INTERFERON_TREATED_BRONCHIAL_EPITHELIAL_CELLS_UP	378		Rejected!	
BLANCO_MELO_BETA_INTERFERON_TREATED_BRONCHIAL_EPITHELIAL_CELLS_DN	216		Rejected!	
BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_INFECTION_UP	136		Rejected!	
BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_INFECTION_DN	81		Rejected!	
BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_DEL_NS1_INFECTION_UP	644		Rejected!	
BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_DEL_NS1_INFECTION_DN	187		Rejected!	
BLANCO_MELO_COVID19_SARS_COV_2_POS_PATIENT_LUNG_TISSUE_UP	172		Rejected!	
BLANCO_MELO_COVID19_SARS_COV_2_POS_PATIENT_LUNG_TISSUE_DN	175		Rejected!	
BUFFA_HYPOXIA_METAGENE	50		Rejected!	
NAKAMURA_CANCER_MICROENVIRONMENT_UP	28		Rejected!	
NAKAMURA_CANCER_MICROENVIRONMENT_DN	46		Rejected!	
WEST_ADRENOCORTICAL_TUMOR_MARKERS_UP	22		Rejected!	
WEST_ADRENOCORTICAL_TUMOR_MARKERS_DN	20		Rejected!	
WINTER_HYPOXIA_UP	95		Rejected!	
WINTER_HYPOXIA_DN	52		Rejected!	
PARENT_MTOR_SIGNALING_UP	568		Rejected!	
PARENT_MTOR_SIGNALING_DN	44		Rejected!	
PYEON_HPV_POSITIVE_TUMORS_UP	99		Rejected!	
PYEON_HPV_POSITIVE_TUMORS_DN	10		Rejected!	
NAKAMURA_TUMOR_ZONE_PERIPHERAL_VS_CENTRAL_UP	284		Rejected!	
NAKAMURA_TUMOR_ZONE_PERIPHERAL_VS_CENTRAL_DN	644		Rejected!	
PICCALUGA_ANGIOIMMUNOBLASTIC_LYMPHOMA_UP	211		Rejected!	
PICCALUGA_ANGIOIMMUNOBLASTIC_LYMPHOMA_DN	137		Rejected!	
LU_TUMOR_VASCULATURE_UP	29		Rejected!	
LU_TUMOR_VASCULATURE_DN	13		Rejected!	
KORKOLA_EMBRYONAL_CARCINOMA_UP	42		Rejected!	
KORKOLA_EMBRYONAL_CARCINOMA_DN	13		Rejected!	
KORKOLA_TERATOMA_UP	17		Rejected!	
KORKOLA_YOLK_SAC_TUMOR_UP	20		Rejected!	
KORKOLA_CHORIOCARCINOMA_UP	6		Rejected!	
KORKOLA_CHORIOCARCINOMA_DN	11		Rejected!	
KORKOLA_SEMINOMA_UP	44		Rejected!	
KORKOLA_SEMINOMA_DN	13		Rejected!	
WATANABE_RECTAL_CANCER_RADIOTHERAPY_RESPONSIVE_UP	113		Rejected!	
WATANABE_RECTAL_CANCER_RADIOTHERAPY_RESPONSIVE_DN	93		Rejected!	
HOLLMANN_APOPTOSIS_VIA_CD40_UP	203		Rejected!	
HOLLMANN_APOPTOSIS_VIA_CD40_DN	267		Rejected!	
LIU_PROSTATE_CANCER_UP	98		Rejected!	
LIU_PROSTATE_CANCER_DN	491	26		
LIU_SOX4_TARGETS_UP	139		Rejected!	
LIU_SOX4_TARGETS_DN	310		Rejected!	
ONKEN_UVEAL_MELANOMA_UP	790		Rejected!	
ONKEN_UVEAL_MELANOMA_DN	529		Rejected!	
BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_UP	206		Rejected!	
BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_DN	180		Rejected!	
SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_UP	352	20		
SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_DN	85		Rejected!	
DAVICIONI_PAX_FOXO1_SIGNATURE_IN_ARMS_UP	60		Rejected!	
DAVICIONI_PAX_FOXO1_SIGNATURE_IN_ARMS_DN	20		Rejected!	
FOURNIER_ACINAR_DEVELOPMENT_EARLY_UP	20		Rejected!	
FOURNIER_ACINAR_DEVELOPMENT_EARLY_DN	6		Rejected!	
FOURNIER_ACINAR_DEVELOPMENT_LATE_UP	11		Rejected!	
FOURNIER_ACINAR_DEVELOPMENT_LATE_DN	22		Rejected!	
NAM_FXYD5_TARGETS_DN	18		Rejected!	
FRASOR_TAMOXIFEN_RESPONSE_UP	51		Rejected!	
FRASOR_TAMOXIFEN_RESPONSE_DN	12		Rejected!	
KIM_RESPONSE_TO_TSA_AND_DECITABINE_UP	136		Rejected!	
KIM_RESPONSE_TO_TSA_AND_DECITABINE_DN	10		Rejected!	
SENGUPTA_NASOPHARYNGEAL_CARCINOMA_UP	302		Rejected!	
SENGUPTA_NASOPHARYNGEAL_CARCINOMA_DN	358		Rejected!	
WATANABE_COLON_CANCER_MSI_VS_MSS_UP	29		Rejected!	
WATANABE_COLON_CANCER_MSI_VS_MSS_DN	69		Rejected!	
KOBAYASHI_EGFR_SIGNALING_6HR_UP	7		Rejected!	
KOBAYASHI_EGFR_SIGNALING_6HR_DN	18		Rejected!	
SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_UP	154		Rejected!	
SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_DN	53		Rejected!	
GAZDA_DIAMOND_BLACKFAN_ANEMIA_ERYTHROID_UP	26		Rejected!	
GAZDA_DIAMOND_BLACKFAN_ANEMIA_ERYTHROID_DN	467		Rejected!	
GAZDA_DIAMOND_BLACKFAN_ANEMIA_MYELOID_UP	30		Rejected!	
GAZDA_DIAMOND_BLACKFAN_ANEMIA_MYELOID_DN	39		Rejected!	
GAZDA_DIAMOND_BLACKFAN_ANEMIA_PROGENITOR_UP	39		Rejected!	
GAZDA_DIAMOND_BLACKFAN_ANEMIA_PROGENITOR_DN	66		Rejected!	
CHEMNITZ_RESPONSE_TO_PROSTAGLANDIN_E2_UP	147		Rejected!	
CHEMNITZ_RESPONSE_TO_PROSTAGLANDIN_E2_DN	402		Rejected!	
ZERBINI_RESPONSE_TO_SULINDAC_UP	9		Rejected!	
ZERBINI_RESPONSE_TO_SULINDAC_DN	6		Rejected!	
IGARASHI_ATF4_TARGETS_UP	5		Rejected!	
IGARASHI_ATF4_TARGETS_DN	98		Rejected!	
ZHONG_RESPONSE_TO_AZACITIDINE_AND_TSA_UP	187		Rejected!	
ZHONG_RESPONSE_TO_AZACITIDINE_AND_TSA_DN	71		Rejected!	
DAVICIONI_MOLECULAR_ARMS_VS_ERMS_UP	339		Rejected!	
DAVICIONI_MOLECULAR_ARMS_VS_ERMS_DN	179		Rejected!	
DAVICIONI_TARGETS_OF_PAX_FOXO1_FUSIONS_UP	258		Rejected!	
DAVICIONI_TARGETS_OF_PAX_FOXO1_FUSIONS_DN	66		Rejected!	
DAVICIONI_RHABDOMYOSARCOMA_PAX_FOXO1_FUSION_UP	64		Rejected!	
DAVICIONI_RHABDOMYOSARCOMA_PAX_FOXO1_FUSION_DN	14		Rejected!	
SENGUPTA_NASOPHARYNGEAL_CARCINOMA_WITH_LMP1_UP	402		Rejected!	
SENGUPTA_NASOPHARYNGEAL_CARCINOMA_WITH_LMP1_DN	174		Rejected!	
TURASHVILI_BREAST_NORMAL_DUCTAL_VS_LOBULAR_UP	66		Rejected!	
TURASHVILI_BREAST_NORMAL_DUCTAL_VS_LOBULAR_DN	7		Rejected!	
TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_DUCTAL_NORMAL_UP	46		Rejected!	
TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_DUCTAL_NORMAL_DN	202		Rejected!	
TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_LOBULAR_NORMAL_UP	73		Rejected!	
TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_LOBULAR_NORMAL_DN	70		Rejected!	
TURASHVILI_BREAST_CARCINOMA_DUCTAL_VS_LOBULAR_UP	23		Rejected!	
TURASHVILI_BREAST_CARCINOMA_DUCTAL_VS_LOBULAR_DN	7		Rejected!	
TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_DUCTAL_NORMAL_UP	70		Rejected!	
TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_DUCTAL_NORMAL_DN	91		Rejected!	
TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_LOBULAR_NORMAL_UP	96		Rejected!	
TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_LOBULAR_NORMAL_DN	74		Rejected!	
CHANDRAN_METASTASIS_TOP50_UP	37		Rejected!	
CHANDRAN_METASTASIS_TOP50_DN	44		Rejected!	
WILCOX_RESPONSE_TO_PROGESTERONE_UP	153		Rejected!	
WILCOX_RESPONSE_TO_PROGESTERONE_DN	62		Rejected!	
FULCHER_INFLAMMATORY_RESPONSE_LECTIN_VS_LPS_UP	585		Rejected!	
FULCHER_INFLAMMATORY_RESPONSE_LECTIN_VS_LPS_DN	454		Rejected!	
GARY_CD5_TARGETS_UP	473		Rejected!	
GARY_CD5_TARGETS_DN	440		Rejected!	
ZHOU_INFLAMMATORY_RESPONSE_LIVE_UP	449		Rejected!	
ZHOU_INFLAMMATORY_RESPONSE_LIVE_DN	377		Rejected!	
SAMOLS_TARGETS_OF_KHSV_MIRNAS_UP	8		Rejected!	
SAMOLS_TARGETS_OF_KHSV_MIRNAS_DN	59		Rejected!	
HOOI_ST7_TARGETS_UP	92		Rejected!	
HOOI_ST7_TARGETS_DN	117		Rejected!	
PRAMOONJAGO_SOX4_TARGETS_UP	52		Rejected!	
PRAMOONJAGO_SOX4_TARGETS_DN	49		Rejected!	
PUIFFE_INVASION_INHIBITED_BY_ASCITES_UP	79		Rejected!	
PUIFFE_INVASION_INHIBITED_BY_ASCITES_DN	146		Rejected!	
PIEPOLI_LGI1_TARGETS_UP	17		Rejected!	
PIEPOLI_LGI1_TARGETS_DN	17		Rejected!	
THUM_SYSTOLIC_HEART_FAILURE_UP	429		Rejected!	
THUM_SYSTOLIC_HEART_FAILURE_DN	206		Rejected!	
CASORELLI_ACUTE_PROMYELOCYTIC_LEUKEMIA_UP	173		Rejected!	
CASORELLI_ACUTE_PROMYELOCYTIC_LEUKEMIA_DN	669		Rejected!	
CORRE_MULTIPLE_MYELOMA_UP	77		Rejected!	
CORRE_MULTIPLE_MYELOMA_DN	58		Rejected!	
HUTTMANN_B_CLL_POOR_SURVIVAL_UP	285		Rejected!	
HUTTMANN_B_CLL_POOR_SURVIVAL_DN	59		Rejected!	
DIAZ_CHRONIC_MEYLOGENOUS_LEUKEMIA_UP	1399		Rejected!	
DIAZ_CHRONIC_MEYLOGENOUS_LEUKEMIA_DN	117		Rejected!	
CASORELLI_APL_SECONDARY_VS_DE_NOVO_UP	39		Rejected!	
DEURIG_T_CELL_PROLYMPHOCYTIC_LEUKEMIA_UP	367		Rejected!	
DEURIG_T_CELL_PROLYMPHOCYTIC_LEUKEMIA_DN	324		Rejected!	
LIU_CMYB_TARGETS_UP	164		Rejected!	
LIU_CMYB_TARGETS_DN	6		Rejected!	
LIU_VMYB_TARGETS_UP	125		Rejected!	
LIU_TARGETS_OF_VMYB_VS_CMYB_UP	15		Rejected!	
LIU_TARGETS_OF_VMYB_VS_CMYB_DN	44		Rejected!	
CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_UP	385		Rejected!	
CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_DN	455		Rejected!	
CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_UP	453		Rejected!	
CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_DN	465		Rejected!	
CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL_UP	125		Rejected!	
CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL_DN	52		Rejected!	
DOANE_BREAST_CANCER_CLASSES_UP	71		Rejected!	
DOANE_BREAST_CANCER_CLASSES_DN	33		Rejected!	
DOANE_RESPONSE_TO_ANDROGEN_UP	184		Rejected!	
DOANE_RESPONSE_TO_ANDROGEN_DN	242		Rejected!	
DOANE_BREAST_CANCER_ESR1_UP	111		Rejected!	
DOANE_BREAST_CANCER_ESR1_DN	47		Rejected!	
WANG_RESPONSE_TO_ANDROGEN_UP	28		Rejected!	
WANG_RESPONSE_TO_FORSKOLIN_UP	22		Rejected!	
WANG_RESPONSE_TO_FORSKOLIN_DN	9		Rejected!	
TIMOFEEVA_GROWTH_STRESS_VIA_STAT1_DN	16		Rejected!	
LAIHO_COLORECTAL_CANCER_SERRATED_UP	115		Rejected!	
LAIHO_COLORECTAL_CANCER_SERRATED_DN	86		Rejected!	
BORCZUK_MALIGNANT_MESOTHELIOMA_UP	311		Rejected!	
BORCZUK_MALIGNANT_MESOTHELIOMA_DN	105		Rejected!	
ROY_WOUND_BLOOD_VESSEL_UP	50		Rejected!	
ROY_WOUND_BLOOD_VESSEL_DN	23		Rejected!	
GRABARCZYK_BCL11B_TARGETS_UP	81		Rejected!	
GRABARCZYK_BCL11B_TARGETS_DN	60		Rejected!	
NEWMAN_ERCC6_TARGETS_UP	26		Rejected!	
NEWMAN_ERCC6_TARGETS_DN	39		Rejected!	
HORIUCHI_WTAP_TARGETS_UP	308		Rejected!	
HORIUCHI_WTAP_TARGETS_DN	317		Rejected!	
GAL_LEUKEMIC_STEM_CELL_UP	128		Rejected!	
GAL_LEUKEMIC_STEM_CELL_DN	235		Rejected!	
CHOI_ATL_CHRONIC_VS_ACUTE_DN	19		Rejected!	
BASAKI_YBX1_TARGETS_UP	292		Rejected!	
BASAKI_YBX1_TARGETS_DN	392		Rejected!	
NOJIMA_SFRP2_TARGETS_UP	32		Rejected!	
NOJIMA_SFRP2_TARGETS_DN	26		Rejected!	
WIKMAN_ASBESTOS_LUNG_CANCER_UP	17		Rejected!	
WIKMAN_ASBESTOS_LUNG_CANCER_DN	30		Rejected!	
RODRIGUES_DCC_TARGETS_UP	6		Rejected!	
