NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
IL31RA	1	ENSG00000164509	
FZD8	1	ENSG00000177283	
MICAL2	1	ENSG00000133816	
NR0B1	1	ENSG00000169297	
LINC02050	1	ENSG00000242781	
RASSF9	1	ENSG00000198774	
VCX2	1	ENSG00000177504	
HAL	1	ENSG00000084110	
MEX3A	1	ENSG00000254726	
DCHS2	1	ENSG00000197410	
GJB6	1	ENSG00000121742	
ID1	1	ENSG00000125968	
RPS14P4	1	ENSG00000226928	
NMU	1	ENSG00000109255	
ZNF702P	1	ENSG00000242779	
ATG2A	1	ENSG00000110046	
AP002852.1	1	ENSG00000253633	
LYPLAL1-AS1	1	ENSG00000228536	
PAEP	1	ENSG00000122133	
FAT3	1	ENSG00000165323	
COL9A2	1	ENSG00000049089	
DDR1	1	ENSG00000204580	
CLIC6	1	ENSG00000159212	
LINC01034	1	ENSG00000224933	
ELN	1	ENSG00000049540	
LINC02241	1	ENSG00000251629	
EFCAB5	1	ENSG00000176927	
MEOX2	1	ENSG00000106511	
METTL11B	1	ENSG00000203740	
SHD	1	ENSG00000105251	
AL357146.1	1	ENSG00000236013	
MRC2	1	ENSG00000011028	
SHE	1	ENSG00000169291	
UCHL1	1	ENSG00000154277	
GABRR1	1	ENSG00000146276	
MECOM	1	ENSG00000085276	
EFCAB1	1	ENSG00000034239	
MUC13	1	ENSG00000173702	
ADAMTS7P1	1	ENSG00000274376	
KIF1A	1	ENSG00000130294	
RSPO4	1	ENSG00000101282	
RFPL1S	1	ENSG00000225465	
IL10	1	ENSG00000136634	
SFTPB	1	ENSG00000168878	
MYBPC1	1	ENSG00000196091	
MYBPC2	1	ENSG00000086967	
AHSG	1	ENSG00000145192	
TSBP1-AS1	1	ENSG00000225914	
AC006262.1	1	ENSG00000268460	
BAAT	1	ENSG00000136881	
F3	1	ENSG00000117525	
AJAP1	1	ENSG00000196581	
LINC01819	1	ENSG00000231826	
DCSTAMP	1	ENSG00000164935	
RIPPLY3	1	ENSG00000183145	
MMP13	1	ENSG00000137745	
GAL	1	ENSG00000069482	
KCNMA1	1	ENSG00000156113	
PXDN	1	ENSG00000130508	
ANGPTL5	1	ENSG00000187151	
LINC02109	1	ENSG00000259786	
ALDOB	1	ENSG00000136872	
RNU4-1	1	ENSG00000200795	
H2BW3P	1	ENSG00000235946	
FOXC2	1	ENSG00000176692	
LINC01297	1	ENSG00000274827	
CIPC	1	ENSG00000198894	
PTGER2	1	ENSG00000125384	
LRRC17	1	ENSG00000128606	
RN7SL5P	1	ENSG00000265735	
GDPD2	1	ENSG00000130055	
FITM1	1	ENSG00000139914	
MIR503HG	1	ENSG00000223749	
TUBA3C	1	ENSG00000198033	
WIF1	1	ENSG00000156076	
PRDM16-DT	1	ENSG00000177133	
OLFML1	1	ENSG00000183801	
HOMER2P1	1	ENSG00000228966	
PAK6	1	ENSG00000137843	
CILP2	1	ENSG00000160161	
EDIL3-DT	1	ENSG00000250320	
RUNX1T1	1	ENSG00000079102	
GABRA2	1	ENSG00000151834	
GABRQ	1	ENSG00000268089	
GABRP	1	ENSG00000094755	
SERPIND1	1	ENSG00000099937	
DMRT2	1	ENSG00000173253	
WNT7B	1	ENSG00000188064	
AC034199.1	1	ENSG00000250274	
SULF1	1	ENSG00000137573	
CABCOCO1	1	ENSG00000183346	
GCK	1	ENSG00000106633	
ZNF722P	1	ENSG00000241149	
FABP7	1	ENSG00000164434	
ZNF219	1	ENSG00000165804	
SAA1	1	ENSG00000173432	
SAA2	1	ENSG00000134339	
LINC01711	1	ENSG00000268941	
FMOD	1	ENSG00000122176	
AC087235.2	1	ENSG00000256321	
CRLF1	1	ENSG00000006016	
RNU4-2	1	ENSG00000202538	
ADGRL3	1	ENSG00000150471	
ALG1L	1	ENSG00000189366	
CEP126	1	ENSG00000110318	
LINC01232	1	ENSG00000280734	
ATP8A2	1	ENSG00000132932	
CHRM1	1	ENSG00000168539	
RASL11B	1	ENSG00000128045	
OTP	1	ENSG00000171540	
RORB	1	ENSG00000198963	
ALDH1L2	1	ENSG00000136010	
NCMAP	1	ENSG00000184454	
COMP	1	ENSG00000105664	
PODNL1	1	ENSG00000132000	
CDH1	1	ENSG00000039068	
ZNF208	1	ENSG00000160321	
KIF5A	1	ENSG00000155980	
TNR	1	ENSG00000116147	
SVEP1	1	ENSG00000165124	
TEKT5	1	ENSG00000153060	
ROS1	1	ENSG00000047936	
LINC02315	1	ENSG00000251363	
AL109615.3	1	ENSG00000237686	
CHRNB2	1	ENSG00000160716	
TRGV3	1	ENSG00000211699	
LINC01580	1	ENSG00000258785	
OSR1	1	ENSG00000143867	
USP2	1	ENSG00000036672	
CYS1	1	ENSG00000205795	
SHISA2	1	ENSG00000180730	
NPNT	1	ENSG00000168743	
CACNB1	1	ENSG00000067191	
RAB31	1	ENSG00000168461	
AL590550.1	1	ENSG00000287097	
DOK6	1	ENSG00000206052	
ZNF679	1	ENSG00000197123	
ACTBP8	1	ENSG00000220267	
LINC02544	1	ENSG00000261039	
FBN2	1	ENSG00000138829	
LINC02584	1	ENSG00000254417	
FBLN7	1	ENSG00000144152	
RASL12	1	ENSG00000103710	
PKDCC	1	ENSG00000162878	
NPR1	1	ENSG00000169418	
SH3PXD2A-AS1	1	ENSG00000280693	
GLT8D2	1	ENSG00000120820	
VCX	1	ENSG00000182583	
LCT-AS1	1	ENSG00000226806	
NID1	1	ENSG00000116962	
FBLN2	1	ENSG00000163520	
LTBP1	1	ENSG00000049323	
C3orf80	1	ENSG00000180044	
VTN	1	ENSG00000109072	
ADGRG2	1	ENSG00000173698	
HCAR1	1	ENSG00000196917	
AC012101.2	1	ENSG00000287281	
PODXL	1	ENSG00000128567	
CPAMD8	1	ENSG00000160111	
AC099520.1	1	ENSG00000251574	
NPTX2	1	ENSG00000106236	
RPL29P19	1	ENSG00000224594	
MAP2K5	1	ENSG00000137764	
SLC38A5	1	ENSG00000017483	
KL	1	ENSG00000133116	
LINC02211	1	ENSG00000245662	
KLRC2	1	ENSG00000205809	
AMBP	1	ENSG00000106927	
HTR1F	1	ENSG00000179097	
RPL41P1	1	ENSG00000227063	
GFPT2	1	ENSG00000131459	
RPL41P2	1	ENSG00000256338	
HTR1D	1	ENSG00000179546	
LAYN	1	ENSG00000204381	
SHISAL1	1	ENSG00000138944	
INHBA	1	ENSG00000122641	
CTAG2	1	ENSG00000126890	
ADAP1	1	ENSG00000105963	
POU2F3	1	ENSG00000137709	
LRP1B	1	ENSG00000168702	
CALHM5	1	ENSG00000178033	
SDK1	1	ENSG00000146555	
FGF14	1	ENSG00000102466	
LINC00945	1	ENSG00000232539	
STK24	1	ENSG00000102572	
PRPH2	1	ENSG00000112619	
OR7E104P	1	ENSG00000219926	
TMEM238	1	ENSG00000233493	
OGN	1	ENSG00000106809	
ALB	1	ENSG00000163631	
TDRD12	1	ENSG00000173809	
LINC02207	1	ENSG00000258476	
LCN2	1	ENSG00000148346	
CPE	1	ENSG00000109472	
LINC01239	1	ENSG00000234840	
TDRD10	1	ENSG00000163239	
NMUR1	1	ENSG00000171596	
LINC00460	1	ENSG00000233532	
TRIM71	1	ENSG00000206557	
DRAXIN	1	ENSG00000162490	
SYCP2	1	ENSG00000196074	
LAMC3	1	ENSG00000050555	
ONECUT1	1	ENSG00000169856	
LINC02086	1	ENSG00000244649	
LMOD1	1	ENSG00000163431	
FHL5	1	ENSG00000112214	
TSPAN11	1	ENSG00000110900	
HAPLN1	1	ENSG00000145681	
CXCL5	1	ENSG00000163735	
TMEM100	1	ENSG00000166292	
MB	1	ENSG00000198125	
HJV	1	ENSG00000168509	
EEF1A1P11	1	ENSG00000228502	
LRRTM1	1	ENSG00000162951	
PHACTR3	1	ENSG00000087495	
NOS1	1	ENSG00000089250	
HMGCS2	1	ENSG00000134240	
MYCNUT	1	ENSG00000223850	
PROSER2-AS1	1	ENSG00000225778	
MRGPRX3	1	ENSG00000179826	
CHN2-AS1	1	ENSG00000235669	
MMP1	1	ENSG00000196611	
MMP2	1	ENSG00000087245	
PDE4C	1	ENSG00000105650	
APOA1	1	ENSG00000118137	
LSR	1	ENSG00000105699	
OLIG1	1	ENSG00000184221	
FOXL1	1	ENSG00000176678	
OLIG2	1	ENSG00000205927	
SSTR2	1	ENSG00000180616	
TCTE1	1	ENSG00000146221	
ZAR1	1	ENSG00000182223	
TRDN	1	ENSG00000186439	
CCNA1	1	ENSG00000133101	
VCAN	1	ENSG00000038427	
AIM2	1	ENSG00000163568	
DIRC3-AS1	1	ENSG00000233143	
TBC1D4	1	ENSG00000136111	
ESRP2	1	ENSG00000103067	
CDH10	1	ENSG00000040731	
CCDC74A	1	ENSG00000163040	
ADGRF5	1	ENSG00000069122	
ITGA8	1	ENSG00000077943	
IRF6	1	ENSG00000117595	
AC091182.1	1	ENSG00000253123	
BCAT1	1	ENSG00000060982	
LTF	1	ENSG00000012223	
CX3CR1	1	ENSG00000168329	
RGS17	1	ENSG00000091844	
EEF1A1P7	1	ENSG00000268222	
LAMA2	1	ENSG00000196569	
SFTPA2	1	ENSG00000185303	
SMPX	1	ENSG00000091482	
LUZP2	1	ENSG00000187398	
AC005280.2	1	ENSG00000284930	
PLG	1	ENSG00000122194	
CYP3A4	1	ENSG00000160868	
ITIH1	1	ENSG00000055957	
ACAN	1	ENSG00000157766	
PRRG3	1	ENSG00000130032	
CLMP	1	ENSG00000166250	
TTR	1	ENSG00000118271	
NHS	1	ENSG00000188158	
SLIT3	1	ENSG00000184347	
FSD1	1	ENSG00000105255	
RGS22	1	ENSG00000132554	
VAT1L	1	ENSG00000171724	
PPP1R14A	1	ENSG00000167641	
CYP1B1-AS1	1	ENSG00000232973	
TRPA1	1	ENSG00000104321	
LUM	1	ENSG00000139329	
SPAG6	1	ENSG00000077327	
NAA11	1	ENSG00000156269	
SPAG4	1	ENSG00000061656	
FGF7P2	1	ENSG00000185390	
SOD3	1	ENSG00000109610	
ASS1	1	ENSG00000130707	
MFAP4	1	ENSG00000166482	
MGAM2	1	ENSG00000257743	
COL7A1	1	ENSG00000114270	
MFAP2	1	ENSG00000117122	
NEURL1	1	ENSG00000107954	
FCGR2C	1	ENSG00000244682	
