NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
RN7SL767P	1	ENSG00000241529	
IMMP1LP1	1	ENSG00000270269	
RNVU1-34	1	ENSG00000200997	
CRACDL	1	ENSG00000196872	
ROGDI	1	ENSG00000067836	
ZNF565	1	ENSG00000196357	
EIF4A1P12	1	ENSG00000257662	
SEPTIN14P12	1	ENSG00000235748	
RNA5SP464	1	ENSG00000252060	
ZBTB21	1	ENSG00000173276	
SFI1	1	ENSG00000198089	
MIR6780B	1	ENSG00000276770	
NRXN2	1	ENSG00000110076	
NCL	1	ENSG00000115053	
ADM2	1	ENSG00000128165	
PGGHG	1	ENSG00000142102	
IGLV2-5	1	ENSG00000253234	
MRPS2	1	ENSG00000122140	
ADGRD1	1	ENSG00000111452	
NUTM1	1	ENSG00000184507	
CST5	1	ENSG00000170367	
SIGLEC7	1	ENSG00000168995	
RPL12P27	1	ENSG00000237169	
GUCA1A	1	ENSG00000048545	
CRY1	1	ENSG00000008405	
AL021937.1	1	ENSG00000230736	
RNU6-910P	1	ENSG00000212146	
IL17RA	1	ENSG00000177663	
CCDC96	1	ENSG00000173013	
PLEKHA4	1	ENSG00000105559	
EEF1DP4	1	ENSG00000213640	
RGMB-AS1	1	ENSG00000246763	
TSPAN13	1	ENSG00000106537	
ELANE	1	ENSG00000197561	
RPS16P5	1	ENSG00000217527	
PET100	1	ENSG00000229833	
RPL29P14	1	ENSG00000241112	
CASK-AS1	1	ENSG00000233033	
LINC00407	1	ENSG00000237585	
THEM4	1	ENSG00000159445	
STIMATE-MUSTN1	1	ENSG00000248592	
H3P7	1	ENSG00000237178	
ATP8B2	1	ENSG00000143515	
AC090136.3	1	ENSG00000254102	
CNTN2	1	ENSG00000184144	
LRRC14B	1	ENSG00000185028	
TRAV29DV5	1	ENSG00000211810	
SPDYE5	1	ENSG00000170092	
CNGB3	1	ENSG00000170289	
LINC02556	1	ENSG00000236611	
CSTF1	1	ENSG00000101138	
ARL4D	1	ENSG00000175906	
RPL35P6	1	ENSG00000244018	
LRRC6	1	ENSG00000129295	
GMCL1	1	ENSG00000087338	
TPRKBP2	1	ENSG00000260452	
LINC02723	1	ENSG00000231680	
TRBV21-1	1	ENSG00000251578	
CHCHD2P2	1	ENSG00000215006	
CHRM5	1	ENSG00000184984	
TMEM263	1	ENSG00000151135	
SEPTIN14P4	1	ENSG00000251155	
TMED2	1	ENSG00000086598	
TOMM22P5	1	ENSG00000225155	
RNA5SP515	1	ENSG00000201440	
APOBEC3F	1	ENSG00000128394	
NOS3	1	ENSG00000164867	
RN7SL481P	1	ENSG00000240322	
EIF3KP1	1	ENSG00000175749	
AC087072.1	1	ENSG00000270889	
ZNF22-AS1	1	ENSG00000165511	
C16orf74	1	ENSG00000154102	
HCFC2	1	ENSG00000111727	
AHI1	1	ENSG00000135541	
CORO7-PAM16	1	ENSG00000103426	
C17orf58	1	ENSG00000186665	
PTCHD3P3	1	ENSG00000219700	
LINC02078	1	ENSG00000267719	
AC234782.2	1	ENSG00000234345	
LINC01305	1	ENSG00000231453	
KLF9	1	ENSG00000119138	
CNIH3-AS2	1	ENSG00000233384	
CMSS1	1	ENSG00000184220	
LHX5	1	ENSG00000089116	
TRIM80P	1	ENSG00000232724	
LRRC8C-DT	1	ENSG00000231999	
ZNF653	1	ENSG00000161914	
NMB	1	ENSG00000197696	
CROCCP4	1	ENSG00000227684	
PITPNB	1	ENSG00000180957	
TUBA3FP	1	ENSG00000161149	
ATP6V1G1P4	1	ENSG00000233343	
MEX3C	1	ENSG00000176624	
AGAP11	1	ENSG00000271880	
DNAH17	1	ENSG00000187775	
DTX1	1	ENSG00000135144	
LINC00582	1	ENSG00000229228	
PHBP7	1	ENSG00000213711	
RNU6-703P	1	ENSG00000252755	
B3GNT3	1	ENSG00000179913	
PAF1	1	ENSG00000006712	
CDC42	1	ENSG00000070831	
ZNF70	1	ENSG00000187792	
NTRK1	1	ENSG00000198400	
SCUBE1	1	ENSG00000159307	
BORCS8	1	ENSG00000254901	
VSTM5	1	ENSG00000214376	
AOX1	1	ENSG00000138356	
DAB2	1	ENSG00000153071	
CLEC18B	1	ENSG00000140839	
CNIH2	1	ENSG00000174871	
TOPORS	1	ENSG00000197579	
SMARCB1	1	ENSG00000099956	
LINC02248	1	ENSG00000235160	
PGD	1	ENSG00000142657	
PA2G4P4	1	ENSG00000230457	
ADSS2	1	ENSG00000035687	
CTNNBIP1	1	ENSG00000178585	
CFAP44-AS1	1	ENSG00000243849	
TMEM74B	1	ENSG00000125895	
TMEM183A	1	ENSG00000163444	
SHH	1	ENSG00000164690	
TRBV10-3	1	ENSG00000275791	
OR5AK1P	1	ENSG00000255083	
HNRNPA1P53	1	ENSG00000229534	
RN7SL674P	1	ENSG00000239899	
LINC02463	1	ENSG00000257683	
PTPN23	1	ENSG00000076201	
ZNF202	1	ENSG00000166261	
TMEM249	1	ENSG00000261587	
ATP6V0B	1	ENSG00000117410	
AL356801.1	1	ENSG00000259318	
ZNF16	1	ENSG00000170631	
FRMD6-AS1	1	ENSG00000273888	
TTC39A	1	ENSG00000085831	
CROCCP2	1	ENSG00000215908	
PTCHD1	1	ENSG00000165186	
POMZP3	1	ENSG00000146707	
TNFRSF14	1	ENSG00000157873	
ZBTB48	1	ENSG00000204859	
SNX18P4	1	ENSG00000229146	
ARMC5	1	ENSG00000140691	
MMP8	1	ENSG00000118113	
PCMTD1	1	ENSG00000168300	
Z93022.1	1	ENSG00000235834	
ANAPC7	1	ENSG00000196510	
ST18	1	ENSG00000147488	
TRBJ1-4	1	ENSG00000281958	
ARL6IP1	1	ENSG00000170540	
GIHCG	1	ENSG00000257698	
DYNLRB1	1	ENSG00000125971	
NRIP2	1	ENSG00000053702	
AC006252.1	1	ENSG00000243224	
HDAC2	1	ENSG00000196591	
LINC01885	1	ENSG00000237880	
RPL37P1	1	ENSG00000227401	
AC022182.3	1	ENSG00000255397	
SLC30A2	1	ENSG00000158014	
TTC32	1	ENSG00000183891	
TCIRG1	1	ENSG00000110719	
LINC02051	1	ENSG00000226859	
YTHDF3	1	ENSG00000185728	
THCAT158	1	ENSG00000263293	
ERFL	1	ENSG00000268041	
TRAJ48	1	ENSG00000211841	
OLA1P1	1	ENSG00000213790	
TMEM231	1	ENSG00000205084	
GRP	1	ENSG00000134443	
PRSS3	1	ENSG00000010438	
VCL	1	ENSG00000035403	
LINC01918	1	ENSG00000226508	
NTAN1P2	1	ENSG00000250569	
SEPTIN7	1	ENSG00000122545	
SPDYE16	1	ENSG00000185040	
MYG1-AS1	1	ENSG00000257605	
VSIG10	1	ENSG00000176834	
ADGRG4	1	ENSG00000156920	
FAM120AOS	1	ENSG00000188938	
ZNF280D	2	ENSG00000285253:ENSG00000137871	
LRRC3B	1	ENSG00000179796	
GRIA3	1	ENSG00000125675	
HSPE1P2	1	ENSG00000258645	
RYBP	1	ENSG00000163602	
LINC01589	1	ENSG00000238120	
RBM14-RBM4	1	ENSG00000248643	
MHENCR	1	ENSG00000232442	
NR2F1-AS1	1	ENSG00000237187	
SRGAP2B	1	ENSG00000196369	
EPN2	1	ENSG00000072134	
RNU6-61P	1	ENSG00000202398	
MT-TC	1	ENSG00000210140	
C2orf69	1	ENSG00000178074	
RNU6-806P	1	ENSG00000202017	
CKS2	1	ENSG00000123975	
LIPT1P1	1	ENSG00000229975	
FAM229A	1	ENSG00000225828	
LRRC18	1	ENSG00000165383	
FABP2	1	ENSG00000145384	
PPIAP52	1	ENSG00000270606	
LSM10	1	ENSG00000181817	
CDK13	1	ENSG00000065883	
KCMF1	1	ENSG00000176407	
RNU6-1226P	1	ENSG00000207044	
CXCR4	1	ENSG00000121966	
LZTR1	1	ENSG00000099949	
B3GNT8	1	ENSG00000177191	
CENPQ	1	ENSG00000031691	
GREB1L	1	ENSG00000141449	
ZNF426-DT	1	ENSG00000278611	
GRM2	1	ENSG00000164082	
AL590762.2	1	ENSG00000213706	
SEMA6C	1	ENSG00000143434	
ST6GAL2-IT1	1	ENSG00000238250	
LDLRAD1	1	ENSG00000203985	
TAGLN2P1	1	ENSG00000253676	
STAT4	1	ENSG00000138378	
EXOSC3P2	1	ENSG00000269763	
HSPD1P5	1	ENSG00000249193	
CLEC10A	1	ENSG00000132514	
AC114324.1	1	ENSG00000206356	
ARID1A	1	ENSG00000117713	
TMEM123	1	ENSG00000152558	
AL021939.1	1	ENSG00000213117	
CLK2	1	ENSG00000176444	
POLE3	1	ENSG00000148229	
MGC15885	1	ENSG00000259458	
MRPL17	1	ENSG00000158042	
H2BC19P	1	ENSG00000220323	
HNRNPA1P54	1	ENSG00000236539	
TAZ	1	ENSG00000102125	
KCNAB1	1	ENSG00000169282	
EPOR	1	ENSG00000187266	
DMBX1	1	ENSG00000197587	
C2orf42	1	ENSG00000115998	
RBM5-AS1	1	ENSG00000281691	
MYO3B-AS1	1	ENSG00000231898	
CXCL11	1	ENSG00000169248	
MSL3P1	1	ENSG00000224287	
RUNDC3B	1	ENSG00000105784	
PRB3	1	ENSG00000197870	
MYL6B	1	ENSG00000196465	
TNS1	1	ENSG00000079308	
FGR	1	ENSG00000000938	
CFAP44	1	ENSG00000206530	
SPEGNB	1	ENSG00000286095	
EIF2AK1	1	ENSG00000086232	
RN7SL850P	1	ENSG00000263955	
RPUSD3	1	ENSG00000156990	
RNU6-1011P	1	ENSG00000207399	
RNU6-31P	1	ENSG00000207116	
MFAP3	1	ENSG00000037749	
DLGAP4-AS1	1	ENSG00000232907	
LINC01558	1	ENSG00000146521	
TRBV4-2	1	ENSG00000211745	
TUFMP1	1	ENSG00000265646	
ZNF280C	1	ENSG00000056277	
RN7SL76P	1	ENSG00000241959	
RBMXL2	1	ENSG00000170748	
FGFR3P5	1	ENSG00000260984	
MXRA7	1	ENSG00000182534	
IFT57	1	ENSG00000114446	
PAK2	1	ENSG00000180370	
METTL26	1	ENSG00000130731	
LINC02331	1	ENSG00000235269	
SULT6B2P	1	ENSG00000283582	
DNM1P35	1	ENSG00000246877	
ZNF273	1	ENSG00000198039	
TBC1D3P1	1	ENSG00000238283	
SNORA22C	1	ENSG00000207344	
EOMES	1	ENSG00000163508	
ZC3H12B	1	ENSG00000102053	
APOO	1	ENSG00000184831	
GABRA3	1	ENSG00000011677	
CC2D2A	1	ENSG00000048342	
MTCYBP43	1	ENSG00000250624	
PDCL	1	ENSG00000136940	
RNU5B-2P	1	ENSG00000199906	
ZNF606	1	ENSG00000166704	
BX004807.1	1	ENSG00000286429	
CADM3-AS1	1	ENSG00000225670	
CREM	1	ENSG00000095794	
C14orf39	1	ENSG00000179008	
SLC25A14	1	ENSG00000102078	
AGO2	1	ENSG00000123908	
CSP2	1	ENSG00000241218	
BRIX1	1	ENSG00000113460	
CNDP1	1	ENSG00000150656	
ZNF829	1	ENSG00000185869	
ANKIB1	1	ENSG00000001629	
KRT8P28	1	ENSG00000223810	
SMIM1	1	ENSG00000235169	
SLC2A8	1	ENSG00000136856	
TP53TG5	1	ENSG00000124251	
NUCKS1P1	1	ENSG00000232864	
LINC02478	1	ENSG00000285373	
STAB1	1	ENSG00000010327	
LINC02846	1	ENSG00000260193	
VPS16	1	ENSG00000215305	
JAM3	1	ENSG00000166086	
MIR1915	1	ENSG00000222071	
TMEM179	1	ENSG00000258986	
SGK1	1	ENSG00000118515	
RNF32	1	ENSG00000105982	
ICA1	1	ENSG00000003147	
PMS2P10	1	ENSG00000276840	
RNU6-904P	1	ENSG00000252015	
NIPA2P4	1	ENSG00000254151	
GPR62	1	ENSG00000180929	
PDHA1P1	1	ENSG00000270772	
FGFBP1	1	ENSG00000137440	
AC011472.1	1	ENSG00000267082	
ZNF621	1	ENSG00000172888	
XRCC6	1	ENSG00000196419	
LINC02836	1	ENSG00000237567	
BX276092.9	1	ENSG00000283599	
ZNF451-AS1	1	ENSG00000226803	
RAVER2	1	ENSG00000162437	
SNORA70J	1	ENSG00000206909	
DNAJB6P3	1	ENSG00000231802	
TET2	1	ENSG00000168769	
MAP4K4	1	ENSG00000071054	
PTMAP2	1	ENSG00000197744	
EFCAB9	1	ENSG00000214360	
NIF3L1	1	ENSG00000196290	
UBE2NL	1	ENSG00000276380	
VIM	1	ENSG00000026025	
EHBP1	1	ENSG00000115504	
TRAJ26	1	ENSG00000211863	
EXOG	1	ENSG00000157036	
TCEA1	1	ENSG00000187735	
COMMD5	1	ENSG00000170619	
IGHV1OR15-1	1	ENSG00000270505	
NFXL1	1	ENSG00000170448	
GALM	1	ENSG00000143891	
HMGB1P10	1	ENSG00000213707	
RAB44	1	ENSG00000255587	
MIR5585	1	ENSG00000266203	
SCARNA21	1	ENSG00000252835	
SBF1P2	1	ENSG00000224904	
NDUFB5P1	1	ENSG00000251025	
COQ10B	1	ENSG00000115520	
AC100801.2	1	ENSG00000287927	
RAN	1	ENSG00000132341	
BCRP3	1	ENSG00000215481	
RNU2-70P	1	ENSG00000222650	
MTND5P1	1	ENSG00000227999	
RNU7-110P	1	ENSG00000252700	
GDPD5	1	ENSG00000158555	
SLC35B1	1	ENSG00000121073	
RPL7AP53	1	ENSG00000235962	
HNRNPA1P59	1	ENSG00000230280	
RHOA-IT1	1	ENSG00000235908	
C19orf67	1	ENSG00000188032	
MIR8083	1	ENSG00000274940	
LCE1D	1	ENSG00000172155	
ZNF519	1	ENSG00000175322	
LINC00635	1	ENSG00000241469	
OR11H4	1	ENSG00000176198	
LY6G5B	1	ENSG00000240053	
RPL4P6	1	ENSG00000230071	
MPO	1	ENSG00000005381	
HMGB3P6	1	ENSG00000213070	
LILRP2	1	ENSG00000170858	
THOC6	1	ENSG00000131652	
TNPO3	1	ENSG00000064419	
REG3A	1	ENSG00000172016	
UACA	1	ENSG00000137831	
BEST2	1	ENSG00000039987	
USP1	1	ENSG00000162607	
VENTXP7	1	ENSG00000236380	
TBC1D3	1	ENSG00000274611	
MBNL1-AS1	1	ENSG00000229619	
YY2	1	ENSG00000230797	
TSPAN1	1	ENSG00000117472	
CSF2RA	1	ENSG00000198223	
FKBP1BP1	1	ENSG00000258536	
IRF5	1	ENSG00000128604	
RPS14P5	1	ENSG00000225933	
TRPV3	1	ENSG00000167723	
ENTR1	1	ENSG00000165689	
MIR3677	1	ENSG00000266643	
P4HB	1	ENSG00000185624	
MTUS2-AS1	1	ENSG00000179141	
MYH9	1	ENSG00000100345	
NKIRAS1	1	ENSG00000197885	
ADARB2-AS1	1	ENSG00000205696	
OR2B6	1	ENSG00000124657	
NTF4	1	ENSG00000225950	
FOXA2	1	ENSG00000125798	
CIR1	1	ENSG00000138433	
GPN2	1	ENSG00000142751	
ZNF625-ZNF20	1	ENSG00000213297	
RNU6-173P	1	ENSG00000201085	
TEKT4P2	1	ENSG00000188681	
NDUFA6	1	ENSG00000184983	
HES3	1	ENSG00000173673	
WWC3-AS1	1	ENSG00000225076	
MIR122HG	1	ENSG00000267391	
TSEN15	1	ENSG00000198860	
RPS15AP29	1	ENSG00000237827	
OCLNP1	1	ENSG00000230847	
FSTL3	1	ENSG00000070404	
ENOX1	1	ENSG00000120658	
ORMDL1	1	ENSG00000128699	
KLF2P3	1	ENSG00000223349	
PPP1R13L	1	ENSG00000104881	
MXD3	1	ENSG00000213347	
SCAI	1	ENSG00000173611	
INTS6L-AS1	1	ENSG00000225235	
MIS12	1	ENSG00000167842	
LINC01424	1	ENSG00000236519	
SLC6A1-AS1	1	ENSG00000232287	
NXPE3	1	ENSG00000144815	
TBX2	1	ENSG00000121068	
ZNF891	1	ENSG00000214029	
PGM5P2	1	ENSG00000277778	
CBLN4	1	ENSG00000054803	
LIN9	1	ENSG00000183814	
NUP62	1	ENSG00000213024	
LRRC4	1	ENSG00000128594	
ARL4A	1	ENSG00000122644	
ALDOAP2	1	ENSG00000214297	
CTNNA3	1	ENSG00000183230	
ADA2	1	ENSG00000093072	
DNM1L	1	ENSG00000087470	
GLS	1	ENSG00000115419	
CDRT4	1	ENSG00000239704	
CHKA	1	ENSG00000110721	
PRKAR1B-AS2	1	ENSG00000229380	
AC131254.1	1	ENSG00000248964	
LINC00205	1	ENSG00000223768	
RNU6-176P	1	ENSG00000253005	
CCNYL5	1	ENSG00000230039	
FLVCR1	1	ENSG00000162769	
FAM83E	1	ENSG00000105523	
GLYATL1B	1	ENSG00000255151	
GARS1	1	ENSG00000106105	
KNOP1P5	1	ENSG00000250563	
VN1R5	1	ENSG00000197617	
CIAO1	1	ENSG00000144021	
MIR5695	1	ENSG00000266721	
SAP18P3	1	ENSG00000230697	
FUS	1	ENSG00000089280	
OR8D2	1	ENSG00000279116	
RPS2P32	1	ENSG00000232818	
ARMC12	1	ENSG00000157343	
CLUHP6	1	ENSG00000265279	
RN7SL208P	1	ENSG00000264391	
LRCOL1	1	ENSG00000204583	
ZBTB26	1	ENSG00000171448	
SLC17A3	1	ENSG00000124564	
TMEM141	1	ENSG00000244187	
WT1	1	ENSG00000184937	
PIF1	1	ENSG00000140451	
GCC2-AS1	1	ENSG00000214184	
TRAJ12	1	ENSG00000211877	
TPTEP1	1	ENSG00000100181	
ATG4C	1	ENSG00000125703	
CCL19	1	ENSG00000172724	
MIR5587	1	ENSG00000266124	
MIR570	1	ENSG00000207650	
NAGK	1	ENSG00000124357	
RPS29P31	1	ENSG00000224279	
RNU7-20P	1	ENSG00000251712	
ZNF674-AS1	1	ENSG00000230844	
RNA5SP407	1	ENSG00000222207	
THSD8	1	ENSG00000284491	
ARHGEF35-AS1	1	ENSG00000244198	
AC005000.2	1	ENSG00000270431	
TRIM36	1	ENSG00000152503	
NOL8	1	ENSG00000198000	
THEM7P	1	ENSG00000227160	
INSYN1-AS1	1	ENSG00000260469	
PANK2-AS1	1	ENSG00000229539	
NDUFC2	1	ENSG00000151366	
PRDX4	1	ENSG00000123131	
SLC20A2	1	ENSG00000168575	
LRRC37A14P	1	ENSG00000215771	
KRI1	1	ENSG00000129347	
LINC01988	1	ENSG00000283036	
CCDC134	1	ENSG00000100147	
NME1	1	ENSG00000239672	
SMNDC1	1	ENSG00000119953	
MIR4477B	1	ENSG00000266017	
TRIM75P	1	ENSG00000250374	
ASPHD1	1	ENSG00000174939	
ZBBX	1	ENSG00000169064	
MTND4P22	1	ENSG00000232772	
SOGA1	1	ENSG00000149639	
LINC01679	1	ENSG00000237989	
KCNA10	1	ENSG00000143105	
REEP4	1	ENSG00000168476	
GMFG	1	ENSG00000130755	
PRKG1-AS1	1	ENSG00000236671	
ARHGAP24	1	ENSG00000138639	
YIPF4	1	ENSG00000119820	
VN1R51P	1	ENSG00000228038	
RASSF5	1	ENSG00000266094	
SLC16A1-AS1	1	ENSG00000226419	
ADORA2A	1	ENSG00000128271	
LINC00366	1	ENSG00000229437	
ACP3	1	ENSG00000014257	
DHRSX-IT1	1	ENSG00000223571	
NANP	1	ENSG00000170191	
ROBO1	1	ENSG00000169855	
FIGNL2-DT	1	ENSG00000259887	
PYGM	1	ENSG00000068976	
AC010729.1	1	ENSG00000236106	
FAM180A	1	ENSG00000189320	
ZMYND8	1	ENSG00000101040	
RNY1P13	1	ENSG00000201900	
RNU6-43P	1	ENSG00000207029	
LEFTY2	1	ENSG00000143768	
MAPK12	1	ENSG00000188130	
RN7SL404P	1	ENSG00000264840	
FNDC9	1	ENSG00000172568	
MAFB	1	ENSG00000204103	
LINC01511	1	ENSG00000250584	
RDM1P5	1	ENSG00000263818	
BRIP1	1	ENSG00000136492	
NANOGNBP3	1	ENSG00000270813	
NCAPD2P1	1	ENSG00000230356	
AL158835.1	1	ENSG00000228021	
KLHL7	1	ENSG00000122550	
MTERF3	1	ENSG00000156469	
FAM138B	1	ENSG00000226516	
CACNA1E	1	ENSG00000198216	
LINC01358	1	ENSG00000237352	
PGBD2	1	ENSG00000185220	
RPS2P15	1	ENSG00000235440	
TMPRSS11CP	1	ENSG00000232398	
RANBP6	1	ENSG00000137040	
RN7SKP198	1	ENSG00000238324	
RNU1-72P	1	ENSG00000199846	
EIF4A1P4	1	ENSG00000257790	
RRN3P3	1	ENSG00000257122	
CIT	1	ENSG00000122966	
RHPN1	1	ENSG00000158106	
WDR7-OT1	1	ENSG00000267225	
NRXN1	1	ENSG00000179915	
OR56B1	1	ENSG00000181023	
CCDC130	1	ENSG00000104957	
OR6C5P	1	ENSG00000230307	
RUSC1	1	ENSG00000160753	
RNU6-10P	1	ENSG00000206763	
NPM1P34	1	ENSG00000232054	
PSG6	1	ENSG00000170848	
ELOCP2	1	ENSG00000259838	
CYP20A1	1	ENSG00000119004	
UNC13A	1	ENSG00000130477	
GAS1RR	1	ENSG00000226237	
SLCO5A1	1	ENSG00000137571	
PPM1M	1	ENSG00000164088	
H2BC21	1	ENSG00000184678	
WDR78	1	ENSG00000152763	
RPL13AP23	1	ENSG00000242990	
MAN2A1	1	ENSG00000112893	
LMF2	1	ENSG00000100258	
TMSB15B-AS1	1	ENSG00000231728	
CASP3	1	ENSG00000164305	
TAFA4	1	ENSG00000163377	
LINC02526	1	ENSG00000229654	
STARD8	1	ENSG00000130052	
LINC01169	1	ENSG00000259471	
RAD54L2	1	ENSG00000164080	
ADRB3	1	ENSG00000188778	
TBC1D26	1	ENSG00000214946	
HNRNPA1P12	1	ENSG00000220157	
CALHM1	1	ENSG00000185933	
HOXD9	1	ENSG00000128709	
HIGD2AP2	1	ENSG00000235695	
ZNF8	1	ENSG00000278129	
MESP2	1	ENSG00000188095	
BLOC1S1	1	ENSG00000135441	
PRIM2	1	ENSG00000146143	
ZNF532	1	ENSG00000074657	
GJB5	1	ENSG00000189280	
PTGES2	1	ENSG00000148334	
MAPRE3-AS1	1	ENSG00000205500	
LRRC28	1	ENSG00000168904	
P4HA2-AS1	1	ENSG00000237714	
RNU6-1121P	1	ENSG00000252611	
RNU6-562P	1	ENSG00000199601	
PARD3-AS1	1	ENSG00000226386	
TRIM51JP	1	ENSG00000232717	
PRIM1	1	ENSG00000198056	
RGS8	1	ENSG00000135824	
LINC01934	1	ENSG00000234663	
CDK2AP1	1	ENSG00000111328	
GAPDHP65	1	ENSG00000235587	
ZBTB2	1	ENSG00000181472	
AL928654.1	1	ENSG00000251602	
RPS15AP14	1	ENSG00000233131	
LINC02158	1	ENSG00000225611	
TMEM38B	1	ENSG00000095209	
SLC22A18AS	1	ENSG00000254827	
RN7SKP5	1	ENSG00000252854	
CEP76	1	ENSG00000101624	
FRZB	1	ENSG00000162998	
ETV7	1	ENSG00000010030	
LINC02133	1	ENSG00000261231	
AC092278.1	1	ENSG00000274455	
ADORA2A-AS1	1	ENSG00000178803	
CCR12P	1	ENSG00000238241	
C16orf92	1	ENSG00000167194	
TYK2	1	ENSG00000105397	
LINC00570	1	ENSG00000224177	
PABPC1P4	1	ENSG00000255642	
PRTN3	1	ENSG00000196415	
IGLC2	1	ENSG00000211677	
RHOXF1-AS1	1	ENSG00000258545	
PSPN	1	ENSG00000125650	
CIR1P1	1	ENSG00000253146	
MDC1-AS1	1	ENSG00000224328	
MAGED4B	1	ENSG00000187243	
POLR3A	1	ENSG00000148606	
SERF1A	1	ENSG00000172058	
GSDMB	1	ENSG00000073605	
RPL23AP92	1	ENSG00000270723	
MIR4305	1	ENSG00000264171	
SYP-AS1	1	ENSG00000237341	
FAM83D	1	ENSG00000101447	
PAICS	1	ENSG00000128050	
H3C12	1	ENSG00000197153	
FAM118B	1	ENSG00000197798	
PSMD10P3	1	ENSG00000232041	
LINC02322	1	ENSG00000258556	
RN7SL145P	1	ENSG00000244357	
IL1RAPL1	1	ENSG00000169306	
EVI2A	1	ENSG00000126860	
GLYCAM1	1	ENSG00000257780	
FAM200B	1	ENSG00000237765	
KRT8	1	ENSG00000170421	
POC1A	1	ENSG00000164087	
CXCR2P1	1	ENSG00000229754	
ARMH2	1	ENSG00000260286	
NOSIP	1	ENSG00000142546	
AC011365.1	1	ENSG00000254042	
LINC02612	1	ENSG00000224048	
SOCS6	1	ENSG00000170677	
ARMC1	1	ENSG00000104442	
ST6GALNAC1	1	ENSG00000070526	
NCAPH2	1	ENSG00000025770	
AP006621.3	1	ENSG00000255284	
STK4	1	ENSG00000101109	
LINC01018	1	ENSG00000250056	
LINC02484	1	ENSG00000248685	
LINC00863	1	ENSG00000224914	
LINC02700	1	ENSG00000255666	
ZNF806	1	ENSG00000018607	
APOBR	1	ENSG00000184730	
POU4F3	1	ENSG00000091010	
RN7SKP11	1	ENSG00000252827	
JHY	1	ENSG00000109944	
FZD3	1	ENSG00000104290	
FCGR3A	1	ENSG00000203747	
ECM1	1	ENSG00000143369	
OPTC	1	ENSG00000188770	
DUSP12	1	ENSG00000081721	
CCR10	1	ENSG00000184451	
SOX9-AS1	1	ENSG00000234899	
HERC2P9	1	ENSG00000206149	
CRYBA2	1	ENSG00000163499	
IAH1	1	ENSG00000134330	
CACTIN	1	ENSG00000105298	
ACADL	1	ENSG00000115361	
CHRDL1	1	ENSG00000101938	
HSPA9P1	1	ENSG00000226666	
SMCHD1	1	ENSG00000101596	
CARNMT1	1	ENSG00000156017	
CHCHD2P9	1	ENSG00000186940	
SNORD11	1	ENSG00000238317	
DENND2C	1	ENSG00000175984	
ZNF887P	1	ENSG00000267500	
MIR3648-1	1	ENSG00000275708	
ARL16	1	ENSG00000214087	
RNU6ATAC38P	1	ENSG00000221046	
NOP56P2	1	ENSG00000226626	
ITK	1	ENSG00000113263	
RNU6-1316P	1	ENSG00000206969	
CUBNP3	1	ENSG00000235690	
POMT1	1	ENSG00000130714	
AC137932.2	1	ENSG00000261253	
SLC39A13	1	ENSG00000165915	
IGKC	1	ENSG00000211592	
SPATA22	1	ENSG00000141255	
H3P43	1	ENSG00000226436	
AL139397.2	1	ENSG00000237708	
DNMBP	1	ENSG00000107554	
SIGLEC9	1	ENSG00000129450	
IFT80	1	ENSG00000068885	
RNY3P8	1	ENSG00000223298	
SPAST	1	ENSG00000021574	
MIR4451	1	ENSG00000266421	
RGPD2	1	ENSG00000185304	
PPP1R7	1	ENSG00000115685	
EIF4E2	1	ENSG00000135930	
SPATA3-AS1	1	ENSG00000238062	
MTDH	1	ENSG00000147649	
HCCAT5	1	ENSG00000260880	
SLC35D2	2	ENSG00000130958:ENSG00000285269	
RFPL4B	1	ENSG00000251258	
MCL1	1	ENSG00000143384	
LPIN2	1	ENSG00000101577	
AC005394.2	1	ENSG00000283403	
TMEM185B	1	ENSG00000226479	
MPEG1	1	ENSG00000197629	
IGKV2-26	1	ENSG00000254098	
IFITM2	1	ENSG00000185201	
DPY19L2	1	ENSG00000177990	
HCFC1R1	1	ENSG00000103145	
RN7SL724P	1	ENSG00000244692	
LMNTD1	1	ENSG00000152936	
LINC00880	1	ENSG00000243629	
MIR2355	1	ENSG00000253008	
DPF3	1	ENSG00000205683	
CD24P2	1	ENSG00000261333	
LINC02477	1	ENSG00000249425	
GOLGA6L5P	1	ENSG00000230373	
TBX19	1	ENSG00000143178	
RPS20P9	1	ENSG00000237162	
LHFPL3-AS2	1	ENSG00000225329	
VASP	1	ENSG00000125753	
RTP5	1	ENSG00000188011	
SPOCK3	1	ENSG00000196104	
NRSN1	1	ENSG00000152954	
ZNNT1	1	ENSG00000261087	
AKAP8	1	ENSG00000105127	
HID1-AS1	1	ENSG00000263586	
AC018413.1	1	ENSG00000265778	
AGAP9	1	ENSG00000204172	
MED14OS	1	ENSG00000234636	
GOLGA6L7	1	ENSG00000261649	
DNASE1L2	1	ENSG00000167968	
AC064875.1	1	ENSG00000225649	
AC104123.1	1	ENSG00000251314	
DYNLRB2	1	ENSG00000168589	
ATXN10	1	ENSG00000130638	
CCT5	1	ENSG00000150753	
CHORDC1P5	1	ENSG00000233020	
LINC02055	1	ENSG00000254101	
RNF41	1	ENSG00000181852	
PDCL3P6	1	ENSG00000224255	
CCNJL	1	ENSG00000135083	
LACRT	1	ENSG00000135413	
