gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
HOMER2P1	   15.645790	-4.1967920	0.9048977	-4.637864	3.520283e-06	2.352706e-03
SNORA73B	   85.541840	 2.6831940	0.5843574	 4.591701	4.396479e-06	2.421378e-03
GCK	   82.739240	 3.6336760	0.7925267	 4.584925	4.541483e-06	2.421378e-03
ZNF716	   24.014750	-6.0244960	1.3126726	-4.589489	4.443326e-06	2.421378e-03
DKK3	 2744.220000	 2.7077410	0.5891345	 4.596135	4.304009e-06	2.421378e-03
RP11-286N22.14	    3.855494	-4.0597610	0.8842009	-4.591447	4.401842e-06	2.421378e-03
SULT1A1	  627.309300	-2.6809440	0.5852039	-4.581213	4.622877e-06	2.421378e-03
MRC2	 6502.108000	 2.5449210	0.5546799	 4.588089	4.473219e-06	2.421378e-03
PODNL1	  530.236900	 3.2050110	0.6996403	 4.580942	4.628871e-06	2.421378e-03
LSR	 1282.309000	-2.4405660	0.5320258	-4.587308	4.489989e-06	2.421378e-03
WNT7B	   65.427810	 3.9333040	0.8587452	 4.580293	4.643256e-06	2.421378e-03
KCNMA1	  990.047500	 2.0846720	0.4559947	 4.571703	4.837767e-06	2.480053e-03
OLIG1	  592.904000	-3.4736340	0.7629890	-4.552666	5.297040e-06	2.670238e-03
RASL11B	   14.212490	 2.7073010	0.5970752	 4.534271	5.780274e-06	2.866068e-03
MMP13	  662.145500	 4.0532930	0.8971813	 4.517808	6.248305e-06	3.048165e-03
NAA11	   66.024540	-6.2685540	1.3893996	-4.511700	6.431023e-06	3.087504e-03
GABRA2	  131.082700	 4.7540750	1.0565398	 4.499665	6.806072e-06	3.157318e-03
ROS1	   27.759180	 4.3497320	0.9664925	 4.500534	6.778292e-06	3.157318e-03
ATG2A	 1912.428000	-0.9104886	0.2024626	-4.497071	6.889606e-06	3.157318e-03
SHE	  609.955900	 1.8969980	0.4224437	 4.490535	7.104443e-06	3.160014e-03
PRPH2	   41.308460	 2.5277020	0.5627381	 4.491791	7.062685e-06	3.160014e-03
RUNX1T1	  251.937200	 2.2186230	0.4947608	 4.484234	7.317627e-06	3.195426e-03
KLRC2	   40.880380	 3.3198980	0.7412218	 4.478953	7.500999e-06	3.195426e-03
VAT1L	  182.491200	 3.3401140	0.7454266	 4.480809	7.436061e-06	3.195426e-03
AL590550.1	   54.538480	-4.0894580	0.9189499	-4.450143	8.581311e-06	3.604866e-03
HOGA1	  141.676400	-2.1040390	0.4731236	-4.447123	8.702796e-06	3.605819e-03
FGF14	   55.792010	 2.4975650	0.5626951	 4.438577	9.055562e-06	3.701277e-03
ZNF208	  111.798500	-3.0367930	0.6861945	-4.425558	9.619349e-06	3.879291e-03
LAMA2	  909.198600	 2.2572960	0.5103924	 4.422667	9.748992e-06	3.879842e-03
RP11-588H23.3	   63.452010	-2.7948760	0.6328784	-4.416134	1.004819e-05	3.896379e-03
AC006262.5	  109.205000	-4.2924320	0.9714861	-4.418419	9.942563e-06	3.896379e-03
CCDC74A	  178.719700	 2.4257950	0.5541016	 4.377889	1.198345e-05	4.296527e-03
NR0B1	  101.408900	 4.8672900	1.1122086	 4.376239	1.207448e-05	4.296527e-03
DMRT2	   47.939590	 2.9871170	0.6822269	 4.378481	1.195094e-05	4.296527e-03
ATP8A2	  523.888600	-2.6181230	0.5964643	-4.389405	1.136613e-05	4.296527e-03
MEG9	   10.202770	 2.8232110	0.6443276	 4.381639	1.177900e-05	4.296527e-03
HES7	   22.772200	 2.7591980	0.6282336	 4.391994	1.123160e-05	4.296527e-03
DOK6	  113.083600	 2.7064940	0.6183466	 4.376985	1.203324e-05	4.296527e-03
FBLN2	 3354.318000	 2.1006250	0.4807832	 4.369173	1.247181e-05	4.386305e-03
RP11-180C1.1	   32.054330	-6.2913560	1.4420939	-4.362653	1.284946e-05	4.467180e-03
RP11-80F22.15	   27.306750	-6.8538860	1.5782564	-4.342695	1.407455e-05	4.811744e-03
EBF4	  361.835300	 2.1793500	0.5019943	 4.341385	1.415874e-05	4.811744e-03
PPP1R14A	  150.749200	 1.7965250	0.4150812	 4.328128	1.503819e-05	5.053833e-03
RPL29P19	   15.928990	 2.9374920	0.6811358	 4.312638	1.613182e-05	5.309966e-03
FAT3	   42.843500	 2.9241810	0.6780916	 4.312369	1.615146e-05	5.309966e-03
TNR	   84.777380	 3.5919710	0.8388057	 4.282244	1.850176e-05	6.017250e-03
ID1	  985.300400	 1.6568730	0.3872063	 4.279043	1.876983e-05	6.039491e-03
SOD3	 2384.699000	 2.7138540	0.6348833	 4.274571	1.915055e-05	6.097131e-03
F3	  413.755800	 2.1247320	0.4989271	 4.258602	2.057092e-05	6.481124e-03
ALDOB	   78.017700	-3.6652710	0.8631397	-4.246440	2.171941e-05	6.649905e-03
C10orf107	    8.215612	 2.3029900	0.5421099	 4.248198	2.154974e-05	6.649905e-03
TSPAN11	 1042.132000	 2.9395490	0.6926848	 4.243704	2.198606e-05	6.649905e-03
CTA-481E9.4	   14.796490	-5.0070880	1.1793400	-4.245669	2.179421e-05	6.649905e-03
MXRA8	 3404.490000	 2.1958280	0.5191850	 4.229374	2.343422e-05	6.885642e-03
SFTPA2	   43.133590	 5.3709250	1.2699511	 4.229238	2.344843e-05	6.885642e-03
AC016587.1	  101.789300	 4.6804810	1.1063719	 4.230477	2.331965e-05	6.885642e-03
RORB	  173.838000	 3.3673700	0.7971283	 4.224376	2.396037e-05	6.962418e-03
CTD-3229J4.1	   16.138610	-6.1131410	1.4477843	-4.222411	2.417027e-05	6.962418e-03
ALG1L	   26.319840	-2.6229160	0.6219538	-4.217220	2.473323e-05	7.039838e-03
RNU4-1	   42.776360	 4.8904640	1.1600699	 4.215663	2.490454e-05	7.039838e-03
ACAN	  400.050000	 2.9590830	0.7025119	 4.212147	2.529553e-05	7.084154e-03
AL590822.3	   56.230740	 2.3875980	0.5681434	 4.202456	2.640346e-05	7.259990e-03
INHBA-AS1	   10.444920	 3.3114160	0.7879425	 4.202611	2.638537e-05	7.259990e-03
RFPL1S	  112.966600	 2.9092510	0.6932910	 4.196291	2.713218e-05	7.393152e-03
CYS1	   67.159230	 2.4546570	0.5866682	 4.184064	2.863438e-05	7.732817e-03
GPR64	   71.730140	 2.5444800	0.6093270	 4.175885	2.968297e-05	7.875361e-03
HAL	  140.756600	-3.9355530	0.9421653	-4.177137	2.952017e-05	7.875361e-03
GLT8D2	  534.830500	 2.3364570	0.5599146	 4.172881	3.007724e-05	7.910576e-03
RP11-54O7.1	   12.383910	 4.3700580	1.0507678	 4.158919	3.197569e-05	8.109940e-03
KIF1A	  251.434500	 3.8438050	0.9239939	 4.159990	3.182618e-05	8.109940e-03
FBN2	  559.530000	 2.4167720	0.5818339	 4.153714	3.271218e-05	8.109940e-03
ALX4	   25.620770	 2.3312250	0.5602134	 4.161316	3.164182e-05	8.109940e-03
COL13A1	  476.101400	 2.5599050	0.6159726	 4.155875	3.240449e-05	8.109940e-03
ONECUT1	  119.595800	-3.5128610	0.8443945	-4.160213	3.179504e-05	8.109940e-03
MAP2K5	 1007.506000	-0.7718265	0.1857961	-4.154160	3.264853e-05	8.109940e-03
RP11-76E17.2	    7.803471	-6.3189870	1.5220247	-4.151698	3.300175e-05	8.115212e-03
COL7A1	 1218.274000	 2.4833050	0.6001830	 4.137579	3.509893e-05	8.428387e-03
MECOM	  539.227800	 1.8252340	0.4408418	 4.140338	3.467952e-05	8.428387e-03
MEG3	 1110.058000	 2.6425760	0.6386894	 4.137498	3.511131e-05	8.428387e-03
CHRNB2	  149.987700	-3.5931250	0.8705974	-4.127195	3.672152e-05	8.745504e-03
GABRP	  240.588100	-3.3182670	0.8044520	-4.124878	3.709306e-05	8.764975e-03
LUZP2	   26.320880	 4.7767110	1.1593740	 4.120078	3.787442e-05	8.880231e-03
MFAP2	 1515.065000	 2.6047600	0.6330830	 4.114405	3.881791e-05	8.888495e-03
NPR1	  571.355500	 1.9422050	0.4724640	 4.110801	3.942893e-05	8.888495e-03
AGTR1	   81.202020	 2.3547520	0.5730193	 4.109376	3.967291e-05	8.888495e-03
UCHL1	  630.859600	 3.0455640	0.7405486	 4.112578	3.912649e-05	8.888495e-03
MIR503HG	  182.125900	 1.6765840	0.4077876	 4.111414	3.932434e-05	8.888495e-03
SH3PXD2A-AS1	   31.578200	 2.8233070	0.6857383	 4.117179	3.835386e-05	8.888495e-03
RP11-752L20.3	   64.962890	 2.2883350	0.5573656	 4.105627	4.032203e-05	8.967501e-03
OGN	  281.875100	 2.8287340	0.6895486	 4.102298	4.090664e-05	8.968319e-03
OMD	  291.074400	 2.8653220	0.6984792	 4.102230	4.091873e-05	8.968319e-03
RP11-431K24.1	   14.911170	 2.9874090	0.7293327	 4.096086	4.201947e-05	9.143317e-03
PROSER2-AS1	   51.760190	 2.8860450	0.7058411	 4.088802	4.336058e-05	9.301307e-03
RP11-114G22.1	   37.581680	-2.8967690	0.7081786	-4.090449	4.305386e-05	9.301307e-03
PTGDS	  540.773400	 3.0157860	0.7383801	 4.084327	4.420481e-05	9.415624e-03
RPL41P2	  146.247100	-1.0138940	0.2483794	-4.082036	4.464282e-05	9.442425e-03
ESRP2	   59.367610	-2.9024590	0.7125762	-4.073191	4.637333e-05	9.740332e-03
RP4-604A21.1	   27.743970	-1.3222590	0.3250018	-4.068467	4.732352e-05	9.803747e-03
LINC01232	  181.950000	-1.5662350	0.3848774	-4.069438	4.712676e-05	9.803747e-03
TDRD10	   41.534220	 1.6678430	0.4101298	 4.066623	4.769938e-05	9.814391e-03
RP11-22L13.1	    1.888764	 3.3674360	0.8297497	 4.058376	4.941520e-05	9.832974e-03
CTD-2325B11.1	    4.479701	 4.2498800	1.0465921	 4.060684	4.892918e-05	9.832974e-03
DCHS2	   28.913590	 3.1593880	0.7777544	 4.062192	4.861410e-05	9.832974e-03
ZNF679	   10.437690	-6.7372410	1.6596224	-4.059503	4.917736e-05	9.832974e-03
ITGA8	  259.392400	 2.3552600	0.5797052	 4.062858	4.847545e-05	9.832974e-03
LUM	14093.000000	 2.0925080	0.5158658	 4.056304	4.985543e-05	9.855733e-03
CYP3A4	    9.915183	-3.1217530	0.7704097	-4.052068	5.076682e-05	9.970735e-03
RP11-774D14.1	   22.515380	-4.3774330	1.0807689	-4.050295	5.115313e-05	9.981790e-03
RP11-47P18.2	   29.988190	-5.1522480	1.2760163	-4.037760	5.396391e-05	1.034938e-02
WISP1	  765.953600	 2.0419620	0.5057706	 4.037328	5.406343e-05	1.034938e-02
MFAP4	 1386.404000	 2.6182770	0.6484125	 4.037980	5.391345e-05	1.034938e-02
CTB-181H17.1	    4.318920	-4.4307910	1.0986730	-4.032857	5.510279e-05	1.048201e-02
SLIT3	 1097.153000	 2.0997550	0.5209682	 4.030486	5.566162e-05	1.052213e-02
LRP1B	   56.336740	 4.4766830	1.1118722	 4.026257	5.667172e-05	1.058082e-02
CILP2	  194.159800	 2.3017930	0.5716933	 4.026273	5.666798e-05	1.058082e-02
ADAMTS7P1	    4.971374	 2.1603720	0.5369177	 4.023655	5.730180e-05	1.063282e-02
AL354743.2	    7.695089	 3.0552700	0.7601371	 4.019367	5.835470e-05	1.076217e-02
NKX2-5	   32.474400	 4.9505460	1.2331101	 4.014683	5.952576e-05	1.089665e-02
WIF1	   15.497260	 4.8684630	1.2129972	 4.013581	5.980442e-05	1.089665e-02
PAK6	  120.816000	-3.0617690	0.7638085	-4.008556	6.109119e-05	1.106446e-02
SLAMF9	  118.027200	 3.2796510	0.8189953	 4.004480	6.215395e-05	1.112372e-02
AC007193.6	    6.374248	-4.2751630	1.0675470	-4.004660	6.210669e-05	1.112372e-02
KIAA1644	  244.064900	 2.3698780	0.5922764	 4.001304	6.299442e-05	1.120782e-02
LINC00982	   17.304760	 2.5716500	0.6434464	 3.996681	6.423690e-05	1.129116e-02
MEX3A	 1034.546000	 2.2736620	0.5690202	 3.995749	6.449012e-05	1.129116e-02
CDH1	 9322.365000	-3.1050910	0.7771647	-3.995409	6.458278e-05	1.129116e-02
SLC38A5	  312.005600	 2.0479720	0.5130324	 3.991897	6.554695e-05	1.133572e-02
PRRG3	   29.440850	 2.4035580	0.6021312	 3.991751	6.558720e-05	1.133572e-02
AC011246.1	  129.966600	-3.2123700	0.8060260	-3.985442	6.735454e-05	1.152990e-02
AC093627.7	    6.241533	 4.8504050	1.2175670	 3.983687	6.785434e-05	1.152990e-02
HS6ST2	  241.345800	 3.0379640	0.7625163	 3.984130	6.772768e-05	1.152990e-02
CXCL5	   77.976320	 3.2845810	0.8260462	 3.976267	7.000538e-05	1.182895e-02
RP11-394A14.2	    4.377477	-3.7655190	0.9479170	-3.972414	7.114797e-05	1.195523e-02
RNU4-2	  116.001700	 3.7488630	0.9447867	 3.967946	7.249474e-05	1.211423e-02
RP11-561N12.2	   11.481920	-6.6311780	1.6729155	-3.963845	7.375217e-05	1.225664e-02
PCDHA3	   17.865110	-3.1879890	0.8046704	-3.961857	7.436906e-05	1.227369e-02
SYCP2	  372.551100	 2.0117120	0.5078920	 3.960905	7.466638e-05	1.227369e-02
TSPAN8	  164.126600	-4.0913220	1.0354461	-3.951265	7.773902e-05	1.270970e-02
SFTPB	   40.803710	 4.0118970	1.0160912	 3.948363	7.868729e-05	1.273460e-02
VCX3B	   65.067720	-4.9769490	1.2609622	-3.946946	7.915444e-05	1.273460e-02
RP11-698N11.2	    5.017383	-2.5239810	0.6393942	-3.947457	7.898554e-05	1.273460e-02
KB-1980E6.3	   16.612090	 2.7337090	0.6934850	 3.941988	8.080917e-05	1.293203e-02
DIRC3-AS1	   48.829320	 3.3660840	0.8545160	 3.939171	8.176380e-05	1.301594e-02
AL022151.1	   12.639210	-3.7122440	0.9440429	-3.932283	8.414286e-05	1.332453e-02
LINC01580	    6.473766	-4.4768020	1.1419956	-3.920157	8.849132e-05	1.393022e-02
CTC-523E23.5	   35.305170	-3.0727660	0.7840537	-3.919077	8.888887e-05	1.393022e-02
RGS17	  371.225400	 2.5607100	0.6541528	 3.914544	9.057537e-05	1.404894e-02
TRGV3	   28.649660	 2.5276140	0.6456381	 3.914908	9.043863e-05	1.404894e-02
LAYN	  397.992700	 2.2000200	0.5628565	 3.908669	9.280589e-05	1.432146e-02
CIPC	 1395.631000	-0.8251446	0.2113351	-3.904438	9.444463e-05	1.450037e-02
ADAMTS12	  759.916500	 1.7334270	0.4446282	 3.898598	9.675134e-05	1.477950e-02
DKFZp434J0226	   39.832810	-3.3377410	0.8593090	-3.884216	1.026608e-04	1.560341e-02
IL10	   82.279540	 1.4924960	0.3847055	 3.879580	1.046369e-04	1.571261e-02
SDK1	  404.109700	 2.3344580	0.6022102	 3.876484	1.059767e-04	1.571261e-02
NHS	  316.026800	 2.2514130	0.5805531	 3.878049	1.052974e-04	1.571261e-02
BAAT	  434.947800	-3.3867420	0.8736259	-3.876650	1.059045e-04	1.571261e-02
LINC00945	    7.197891	-2.4453410	0.6303637	-3.879255	1.047768e-04	1.571261e-02
TRAF3IP2	 2897.768000	-1.4108830	0.3645138	-3.870588	1.085733e-04	1.601907e-02
SLC12A8	  249.787100	 1.6926560	0.4379386	 3.865052	1.110654e-04	1.625293e-02
VCAN	11934.210000	 2.2871860	0.5918170	 3.864684	1.112331e-04	1.625293e-02
CHRM1	   80.175070	-3.3290350	0.8624113	-3.860148	1.133182e-04	1.647799e-02
TEKT5	   11.443300	-2.9150800	0.7555284	-3.858333	1.141631e-04	1.652142e-02
AC138776.1	   50.020860	-2.4644610	0.6395162	-3.853633	1.163778e-04	1.676172e-02
SLC51B	   11.300740	 1.7353670	0.4513861	 3.844530	1.207839e-04	1.731389e-02
NOS1	   79.452080	 4.8526900	1.2634720	 3.840758	1.226549e-04	1.749915e-02
GPR116	 2353.466000	 1.7739870	0.4624904	 3.835728	1.251929e-04	1.777739e-02
CYP39A1	  224.428800	-2.0222000	0.5288477	-3.823786	1.314181e-04	1.840218e-02
RP11-16F15.2	   32.930860	-1.1956780	0.3126574	-3.824244	1.311738e-04	1.840218e-02
CTC-513N18.6	   16.760300	-3.8303440	1.0016327	-3.824101	1.312503e-04	1.840218e-02
FSD1	   83.238510	 2.7738210	0.7267161	 3.816926	1.351248e-04	1.874764e-02
MB	   57.743690	-4.2036470	1.1011073	-3.817655	1.347263e-04	1.874764e-02
RP11-672A2.4	   10.303910	 1.5787160	0.4137850	 3.815305	1.360150e-04	1.878498e-02
TRIL	 2037.710000	 2.8894500	0.7576019	 3.813942	1.367674e-04	1.880304e-02
BCAT1	 2018.214000	 1.9491460	0.5118036	 3.808387	1.398764e-04	1.914344e-02
EPHA3	  623.989600	 2.5390720	0.6672993	 3.804996	1.418063e-04	1.928544e-02
SSTR2	  125.941400	 1.8795470	0.4940549	 3.804329	1.421892e-04	1.928544e-02
RP11-339B21.10	   25.284490	 1.2855090	0.3381029	 3.802125	1.434603e-04	1.937098e-02
MEOX2	  818.788000	 2.9507510	0.7764508	 3.800306	1.445174e-04	1.942700e-02
SMPX	   19.929050	-3.9953880	1.0540816	-3.790397	1.504066e-04	2.012919e-02
RP11-504A18.1	    6.914436	 2.3299480	0.6154751	 3.785609	1.533329e-04	2.022226e-02
FABP7	 1387.819000	-3.4917040	0.9221182	-3.786612	1.527151e-04	2.022226e-02
ZNF219	 1583.274000	-1.1838520	0.3127838	-3.784890	1.537764e-04	2.022226e-02
AP000282.2	   10.614290	-3.7139390	0.9806838	-3.787091	1.524211e-04	2.022226e-02
CACNB1	  241.997400	 0.5530555	0.1462515	 3.781536	1.558635e-04	2.040800e-02
RP11-76E17.4	    6.520159	-3.5367240	0.9356136	-3.780112	1.567579e-04	2.043664e-02
OLFML1	  363.630300	 1.3116530	0.3472325	 3.777450	1.584424e-04	2.056759e-02
PKDCC	  522.242700	 1.6681360	0.4420707	 3.773460	1.609989e-04	2.081014e-02
FMOD	 3767.003000	 2.4809880	0.6578380	 3.771427	1.623165e-04	2.089117e-02
LINC00460	   46.012920	 3.3579470	0.8906561	 3.770195	1.631198e-04	2.090560e-02
CPE	 2032.204000	 1.8421630	0.4887766	 3.768927	1.639510e-04	2.092347e-02
PXDN	 4852.108000	 2.0471200	0.5435354	 3.766305	1.656811e-04	2.105542e-02
FCGR2C	  906.738900	-2.4130810	0.6409286	-3.764977	1.665642e-04	2.107908e-02
LMOD1	  369.800500	 1.7795660	0.4730917	 3.761567	1.688525e-04	2.127963e-02
METTL11B	    8.399069	 3.2077180	0.8534249	 3.758641	1.708389e-04	2.139515e-02
SULF1	 5639.477000	 2.0758230	0.5526573	 3.756076	1.725986e-04	2.139515e-02
LAMC3	 1043.366000	 2.5708600	0.6844233	 3.756243	1.724829e-04	2.139515e-02
RP11-126O1.6	    4.292665	 3.2730590	0.8709649	 3.757969	1.712980e-04	2.139515e-02
MYCNUT	   11.820500	-3.7384770	0.9964355	-3.751850	1.755344e-04	2.167026e-02
CCNA1	  110.547300	 2.8911400	0.7708101	 3.750781	1.762844e-04	2.167438e-02
GDPD2	   12.713380	 1.6461010	0.4392964	 3.747130	1.788695e-04	2.181486e-02
AB019438.66	    1.739696	-4.1878940	1.1174112	-3.747854	1.783543e-04	2.181486e-02
GABRG2	  141.380900	-4.0717280	1.0869647	-3.745962	1.797040e-04	2.182863e-02
SHISA2	 3523.331000	-3.1093800	0.8305583	-3.743723	1.813133e-04	2.193601e-02
RPL41P1	 2628.581000	-0.9901315	0.2648913	-3.737879	1.855795e-04	2.236270e-02
BAGE5	   23.599600	-5.3005790	1.4184628	-3.736848	1.863418e-04	2.236545e-02
ANO1-AS2	    5.040437	 3.0827180	0.8256440	 3.733714	1.886767e-04	2.240206e-02
RP11-244J10.1	  365.019100	-1.2081180	0.3236778	-3.732472	1.896095e-04	2.240206e-02
CTA-481E9.3	    5.117270	-5.2130880	1.3961107	-3.734008	1.884567e-04	2.240206e-02
SPAG4	  248.556000	 1.6284660	0.4362814	 3.732605	1.895099e-04	2.240206e-02
RP5-907D15.4	  171.915300	 3.2163080	0.8628091	 3.727717	1.932224e-04	2.274010e-02
HTR1F	   33.709370	 2.2999510	0.6187488	 3.717100	2.015225e-04	2.362500e-02
MMP2	12849.490000	 1.8553230	0.5000470	 3.710296	2.070168e-04	2.417541e-02
VCX2	    9.435954	-5.4589030	1.4725411	-3.707131	2.096201e-04	2.438527e-02
LCN2	  182.362400	 4.1187070	1.1119069	 3.704183	2.120729e-04	2.448228e-02
MYBPC2	   34.774540	-3.1883040	0.8605921	-3.704779	2.115750e-04	2.448228e-02
C6orf223	   64.524220	 3.3124530	0.8950184	 3.700989	2.147608e-04	2.463783e-02
LA16c-380F5.3	   13.573230	 1.5380510	0.4156399	 3.700442	2.152240e-04	2.463783e-02
FTLP14	   31.394060	-2.9164890	0.7883065	-3.699689	2.158641e-04	2.463783e-02
OSR1	   91.843700	 2.6880850	0.7267703	 3.698672	2.167308e-04	2.464376e-02
C3orf80	  141.712600	 1.8173290	0.4920041	 3.693728	2.209898e-04	2.486801e-02
GABRQ	  105.348900	 2.5925120	0.7019078	 3.693522	2.211696e-04	2.486801e-02
AC009879.3	   18.093420	-2.2001040	0.5954892	-3.694615	2.202198e-04	2.486801e-02
LINC00671	    2.144286	 2.5047270	0.6785350	 3.691374	2.230460e-04	2.489391e-02
COMP	 1534.318000	 2.9084800	0.7877129	 3.692309	2.222268e-04	2.489391e-02
CLMP	 1286.035000	 2.3047910	0.6250832	 3.687176	2.267569e-04	2.521504e-02
TTR	   95.294740	-3.2117510	0.8716995	-3.684471	2.291784e-04	2.539095e-02
PSG4	  226.344400	-4.2584740	1.1570351	-3.680505	2.327721e-04	2.569498e-02
LTF	  258.720900	-2.6937360	0.7325977	-3.676965	2.360257e-04	2.577197e-02
NPNT	  389.017100	 2.0194340	0.5491600	 3.677315	2.357024e-04	2.577197e-02
RP11-417E7.2	   41.537590	 1.9552040	0.5316825	 3.677390	2.356324e-04	2.577197e-02
RP11-360O19.4	   17.595640	-1.6625640	0.4524297	-3.674745	2.380875e-04	2.590358e-02
ZAR1	    2.323063	 3.2288930	0.8794675	 3.671418	2.412081e-04	2.614904e-02
RP11-1334A24.5	   34.929990	 2.0790540	0.5673584	 3.664445	2.478751e-04	2.677582e-02
AMBP	   80.474940	-4.2797630	1.1694992	-3.659484	2.527240e-04	2.720245e-02
TRPA1	  124.738800	 2.8946960	0.7918350	 3.655681	2.565002e-04	2.751101e-02
AC004593.3	   23.064620	-3.7228860	1.0189772	-3.653552	2.586379e-04	2.762884e-02
APOA1	   87.716760	-3.6343660	0.9949615	-3.652771	2.594257e-04	2.762884e-02
SHD	   21.319130	-3.2181360	0.8822273	-3.647740	2.645572e-04	2.807648e-02
WI2-87327B8.2	   75.684100	 3.2619300	0.8945436	 3.646474	2.658637e-04	2.811648e-02
RP11-184E9.1	   13.941080	-2.5328630	0.6950839	-3.643967	2.684675e-04	2.819394e-02
GFPT2	 1327.614000	 1.7497680	0.4802815	 3.643214	2.692551e-04	2.819394e-02
KL	   61.898230	 1.6770740	0.4603449	 3.643082	2.693926e-04	2.819394e-02
CFAP61	   46.387900	 2.3251200	0.6387537	 3.640088	2.725448e-04	2.842548e-02
IRF6	  165.818700	-2.4777640	0.6815079	-3.635708	2.772181e-04	2.881354e-02
